,Season,Team,Player
1170,5,Pune Warriors,Marlon Samuels
1171,5,Pune Warriors,Rahul Sharma
1172,5,Pune Warriors,Graeme Smith
1173,5,Pune Warriors,Steven Smith
1174,5,Pune Warriors,Tamim Iqbal
1175,5,Pune Warriors,Alfonso Thomas
1176,5,Pune Warriors,Krishnakant Upadhyay
1177,5,Pune Warriors,Robin Uthappa
1178,5,Pune Warriors,Shrikant Wagh
1179,5,Pune Warriors,Luke Wright
1180,5,Pune Warriors,James Hopes
1181,5,Pune Warriors,Mitchell Marsh
1182,5,Pune Warriors,Yuvraj Singh
1183,6,Royal Challengers Bangalore,Virat Kohli
1184,6,Royal Challengers Bangalore,Mayank Agarwal
1185,6,Royal Challengers Bangalore,KP Appanna
1186,6,Royal Challengers Bangalore,Sreenath Aravind
1187,6,Royal Challengers Bangalore,Arun Karthik
1188,6,Royal Challengers Bangalore,Chris Barnwell
1189,6,Royal Challengers Bangalore,Daniel Christian
1190,6,Royal Challengers Bangalore,AB de Villiers
1191,6,Royal Challengers Bangalore,Tillakaratne Dilshan
1192,6,Royal Challengers Bangalore,Chris Gayle
1193,6,Royal Challengers Bangalore,Moises Henriques
1194,6,Royal Challengers Bangalore,Sheldon Jackson
1195,6,Royal Challengers Bangalore,Murali Kartik
1196,6,Royal Challengers Bangalore,Zaheer Khan
1197,6,Royal Challengers Bangalore,Andrew McDonald
1198,6,Royal Challengers Bangalore,Abhimanyu Mithun
1199,6,Royal Challengers Bangalore,Abhinav Mukund
1200,6,Royal Challengers Bangalore,Muttiah Muralitharan
1201,6,Royal Challengers Bangalore,Karun Nair
1202,6,Royal Challengers Bangalore,Pankaj Singh
1203,6,Royal Challengers Bangalore,Prasanth Parameswaran
1204,6,Royal Challengers Bangalore,Harshal Patel
1205,6,Royal Challengers Bangalore,Cheteshwar Pujara
1206,6,Royal Challengers Bangalore,KL Rahul
1207,6,Royal Challengers Bangalore,Ravi Rampaul
1208,6,Royal Challengers Bangalore,Sandeep Warrier
1209,6,Royal Challengers Bangalore,RP Singh
1210,6,Royal Challengers Bangalore,Sunny Sohal
1211,6,Royal Challengers Bangalore,Jamaluddin Syed Mohammad
1212,6,Royal Challengers Bangalore,Saurabh Tiwary
1213,6,Royal Challengers Bangalore,Jaydev Unadkat
1214,6,Royal Challengers Bangalore,Daniel Vettori
1215,6,Royal Challengers Bangalore,Vinay Kumar
1216,6,Royal Challengers Bangalore,Vijay Zol
1217,6,Chennai Super Kings,MS Dhoni
1218,6,Chennai Super Kings,Srikkanth Anirudha
1219,6,Chennai Super Kings,Baba Aparajith
1220,6,Chennai Super Kings,Ravichandran Ashwin
1221,6,Chennai Super Kings,S Badrinath
1222,6,Chennai Super Kings,Dwayne Bravo
1223,6,Chennai Super Kings,Akila Dananjaya
1224,6,Chennai Super Kings,Faf du Plessis
1225,6,Chennai Super Kings,Ben Hilfenhaus
1226,6,Chennai Super Kings,Jason Holder
1227,6,Chennai Super Kings,Michael Hussey
1228,6,Chennai Super Kings,Imtiaz Ahmed
1229,6,Chennai Super Kings,Ravindra Jadeja
1230,6,Chennai Super Kings,Shadab Jakati
1231,6,Chennai Super Kings,R Karthikeyan
1232,6,Chennai Super Kings,Nuwan Kulasekara
1233,6,Chennai Super Kings,Ben Laughlin
1234,6,Chennai Super Kings,Ronit More
1235,6,Chennai Super Kings,Albie Morkel
1236,6,Chennai Super Kings,Chris Morris
1237,6,Chennai Super Kings,Dirk Nannes
1238,6,Chennai Super Kings,Suresh Raina
1239,6,Chennai Super Kings,Ankit Rajpoot
1240,6,Chennai Super Kings,Wriddhiman Saha
1241,6,Chennai Super Kings,Vijay Shankar
1242,6,Chennai Super Kings,Mohit Sharma
1243,6,Chennai Super Kings,Murali Vijay
1244,6,Delhi Daredevils,Mahela Jayawardene
1245,6,Delhi Daredevils,Ajit Agarkar
1246,6,Delhi Daredevils,Gulam Bodi
1247,6,Delhi Daredevils,Johan Botha
1248,6,Delhi Daredevils,Unmukt Chand
1249,6,Delhi Daredevils,Bharat Chipli
1250,6,Delhi Daredevils,Royston Dias
1251,6,Delhi Daredevils,Chidhambaram Gautam
1252,6,Delhi Daredevils,Kedar Jadhav
1253,6,Delhi Daredevils,Manprit Juneja
1254,6,Delhi Daredevils,Siddarth Kaul
1255,6,Delhi Daredevils,Jeevan Mendis
1256,6,Delhi Daredevils,Morne Morkel
1257,6,Delhi Daredevils,Shahbaz Nadeem
1258,6,Delhi Daredevils,Yogesh Nagar
1259,6,Delhi Daredevils,Sujit Nayak
1260,6,Delhi Daredevils,Pawan Negi
1261,6,Delhi Daredevils,Ashish Nehra
1262,6,Delhi Daredevils,Naman Ojha
1263,6,Delhi Daredevils,Irfan Pathan
1264,6,Delhi Daredevils,Ben Rohrer
1265,6,Delhi Daredevils,Andre Russell
1266,6,Delhi Daredevils,Virender Sehwag
1267,6,Delhi Daredevils,Aristh Singhvi
1268,6,Delhi Daredevils,Roelof van der Merwe
1269,6,Delhi Daredevils,Venugopal Rao
1270,6,Delhi Daredevils,David Warner
1271,6,Delhi Daredevils,Umesh Yadav
1272,6,Delhi Daredevils,Varun Aaron
1273,6,Delhi Daredevils,Kevin Pietersen
1274,6,Delhi Daredevils,Jesse Ryder
1275,6,Kings XI Punjab,Adam Gilchrist
1276,6,Kings XI Punjab,Parvinder Awana
1277,6,Kings XI Punjab,Azhar Mahmood
1278,6,Kings XI Punjab,Bhargav Bhatt
1279,6,Kings XI Punjab,Bipul Sharma
1280,6,Kings XI Punjab,Piyush Chawla
1281,6,Kings XI Punjab,Siddharth Chitnis
1282,6,Kings XI Punjab,Aniket Choudhary
1283,6,Kings XI Punjab,Manpreet Gony
1284,6,Kings XI Punjab,Gurkeerat Singh Mann
1285,6,Kings XI Punjab,Harmeet Singh
1286,6,Kings XI Punjab,David Hussey
1287,6,Kings XI Punjab,Praveen Kumar
1288,6,Kings XI Punjab,Mandeep Singh
1289,6,Kings XI Punjab,Shaun Marsh
1290,6,Kings XI Punjab,Dimitri Mascarenhas
1291,6,Kings XI Punjab,David Miller
1292,6,Kings XI Punjab,Michael Neser
1293,6,Kings XI Punjab,Luke Pomersbach
1294,6,Kings XI Punjab,Nitin Saini
1295,6,Kings XI Punjab,Sandeep Sharma
1296,6,Kings XI Punjab,Rajagopal Sathish
1297,6,Kings XI Punjab,Sunny Singh
1298,6,Kings XI Punjab,Paul Valthaty
1299,6,Kings XI Punjab,Manan Vohra
1300,6,Kings XI Punjab,Ryan Harris
1301,6,Kolkata Knight Riders,Gautam Gambhir
1302,6,Kolkata Knight Riders,Sarabjit Ladda
1303,6,Kolkata Knight Riders,Lakshmipathy Balaji
1304,6,Kolkata Knight Riders,Rajat Bhatia
1305,6,Kolkata Knight Riders,Manvinder Bisla
1306,6,Kolkata Knight Riders,Debabrata Das
1307,6,Kolkata Knight Riders,Brad Haddin
1308,6,Kolkata Knight Riders,Iqbal Abdulla
1309,6,Kolkata Knight Riders,Jacques Kallis
1310,6,Kolkata Knight Riders,Brett Lee
1311,6,Kolkata Knight Riders,Brendon McCullum
1312,6,Kolkata Knight Riders,Ryan McLaren
1313,6,Kolkata Knight Riders,Mohammed Shami
1314,6,Kolkata Knight Riders,Eoin Morgan
1315,6,Kolkata Knight Riders,Sunil Narine
1316,6,Kolkata Knight Riders,Sumit Narwal
1317,6,Kolkata Knight Riders,Yusuf Pathan
1318,6,Kolkata Knight Riders,Pradeep Sangwan
1319,6,Kolkata Knight Riders,Sachithra Senanayake
1320,6,Kolkata Knight Riders,Shakib Al Hasan
1321,6,Kolkata Knight Riders,Laxmi Shukla
1322,6,Kolkata Knight Riders,Ryan ten Doeschate
1323,6,Kolkata Knight Riders,Manoj Tiwary
1324,6,Kolkata Knight Riders,James Pattinson
1325,6,Mumbai Indians,Ricky Ponting
1326,6,Mumbai Indians,Rohit Sharma
1327,6,Mumbai Indians,Abu Nechim
1328,6,Mumbai Indians,Amitoze Singh
1329,6,Mumbai Indians,Aiden Blizzard
1330,6,Mumbai Indians,Jasprit Bumrah
1331,6,Mumbai Indians,Yuzvendra Chahal
1332,6,Mumbai Indians,Nathan Coulter-Nile
1333,6,Mumbai Indians,Rishi Dhawan
1334,6,Mumbai Indians,James Franklin
1335,6,Mumbai Indians,Harbhajan Singh
1336,6,Mumbai Indians,Phillip Hughes
1337,6,Mumbai Indians,Javed Khan
1338,6,Mumbai Indians,Mitchell Johnson
1339,6,Mumbai Indians,Dinesh Karthik
1340,6,Mumbai Indians,Dhawal Kulkarni
1341,6,Mumbai Indians,Lasith Malinga
1342,6,Mumbai Indians,Sushant Marathe
1343,6,Mumbai Indians,Glenn Maxwell
1344,6,Mumbai Indians,Pragyan Ojha
1345,6,Mumbai Indians,Jacob Oram
1346,6,Mumbai Indians,Axar Patel
1347,6,Mumbai Indians,Munaf Patel
1348,6,Mumbai Indians,Kieron Pollard
1349,6,Mumbai Indians,Ambati Rayudu
1350,6,Mumbai Indians,Jalaj Saxena
1351,6,Mumbai Indians,Dwayne Smith
1352,6,Mumbai Indians,Pawan Suyal
1353,6,Mumbai Indians,Aditya Tare
1354,6,Mumbai Indians,Sachin Tendulkar
1355,6,Mumbai Indians,Suryakumar Yadav
1356,6,Rajasthan Royals,Rahul Dravid
1357,6,Rajasthan Royals,Samuel Badree
1358,6,Rajasthan Royals,Stuart Binny
1359,6,Rajasthan Royals,Kevon Cooper
1360,6,Rajasthan Royals,Fidel Edwards
1361,6,Rajasthan Royals,James Faulkner
1362,6,Rajasthan Royals,Shreevats Goswami
1363,6,Rajasthan Royals,Harmeet Singh
1364,6,Rajasthan Royals,Brad Hodge
1365,6,Rajasthan Royals,Brad Hogg
1366,6,Rajasthan Royals,Vikramjeet Malik
1367,6,Rajasthan Royals,Ashok Menaria
1368,6,Rajasthan Royals,Kusal Perera
1369,6,Rajasthan Royals,Ajinkya Rahane
1370,6,Rajasthan Royals,Sachin Baby
1371,6,Rajasthan Royals,Sanju Samson
1372,6,Rajasthan Royals,Owais Shah
1373,6,Rajasthan Royals,Rahul Shukla
1374,6,Rajasthan Royals,Shaun Tait
1375,6,Rajasthan Royals,Pravin Tambe
1376,6,Rajasthan Royals,Siddharth Trivedi
1377,6,Rajasthan Royals,Shane Watson
1378,6,Rajasthan Royals,Dishant Yagnik
1379,6,Rajasthan Royals,Ajit Chandila
1380,6,Rajasthan Royals,Ankeet Chavan
1381,6,Rajasthan Royals,Sreesanth
1382,6,Pune Warriors,Angelo Mathews
1383,6,Pune Warriors,Udit Birla
1384,6,Pune Warriors,Ashok Dinda
1385,6,Pune Warriors,Eklavya Dwivedi
1386,6,Pune Warriors,Aaron Finch
1387,6,Pune Warriors,Raiphi Gomez
1388,6,Pune Warriors,Harpreet Singh
1389,6,Pune Warriors,Dheeraj Jadhav
1390,6,Pune Warriors,Bhuvneshwar Kumar
1391,6,Pune Warriors,Anustup Majumdar
1392,6,Pune Warriors,Mithun Manhas
1393,6,Pune Warriors,Mitchell Marsh
1394,6,Pune Warriors,Ajantha Mendis
1395,6,Pune Warriors,Ali Murtaza
1396,6,Pune Warriors,Abhishek Nayar
1397,6,Pune Warriors,Ishwar Pandey
1398,6,Pune Warriors,Manish Pandey
1399,6,Pune Warriors,Wayne Parnell
1400,6,Pune Warriors,Parvez Rasool
1401,6,Pune Warriors,Mahesh Rawat
1402,6,Pune Warriors,Kane Richardson
1403,6,Pune Warriors,Marlon Samuels
1404,6,Pune Warriors,Rahul Sharma
1405,6,Pune Warriors,Steven Smith
1406,6,Pune Warriors,Tirumalasetti Suman
1407,6,Pune Warriors,Tamim Iqbal
1408,6,Pune Warriors,Ross Taylor
1409,6,Pune Warriors,Krishnakant Upadhyay
1410,6,Pune Warriors,Robin Uthappa
1411,6,Pune Warriors,Shrikant Wagh
1412,6,Pune Warriors,Luke Wright
1413,6,Pune Warriors,Yuvraj Singh
1414,6,Pune Warriors,Michael Clarke
1415,6,Sunrisers Hyderabad,Kumar Sangakkara
1416,6,Sunrisers Hyderabad,Anand Rajan
1417,6,Sunrisers Hyderabad,Ankit Sharma
1418,6,Sunrisers Hyderabad,Ashish Reddy
1419,6,Sunrisers Hyderabad,Quinton de Kock
1420,6,Sunrisers Hyderabad,Shikhar Dhawan
1421,6,Sunrisers Hyderabad,Jean-Paul Duminy
1422,6,Sunrisers Hyderabad,Chris Lynn
1423,6,Sunrisers Hyderabad,Nathan McCullum
1424,6,Sunrisers Hyderabad,Clint McKay
1425,6,Sunrisers Hyderabad,Amit Mishra
1426,6,Sunrisers Hyderabad,Parthiv Patel
1427,6,Sunrisers Hyderabad,Thisara Perera
1428,6,Sunrisers Hyderabad,Padmanabhan Prasanth
1429,6,Sunrisers Hyderabad,Veer Pratap Singh
1430,6,Sunrisers Hyderabad,Sachin Rana
1431,6,Sunrisers Hyderabad,Dwaraka Ravi Teja
1432,6,Sunrisers Hyderabad,Akshath Reddy
1433,6,Sunrisers Hyderabad,Biplab Samantray
1434,6,Sunrisers Hyderabad,Daren Sammy
1435,6,Sunrisers Hyderabad,Ishant Sharma
1436,6,Sunrisers Hyderabad,Karn Sharma
1437,6,Sunrisers Hyderabad,Dale Steyn
1438,6,Sunrisers Hyderabad,Thalaivan Sargunam
1439,6,Sunrisers Hyderabad,Sudeep Tyagi
1440,6,Sunrisers Hyderabad,Hanuma Vihari
1441,6,Sunrisers Hyderabad,Cameron White
1442,7,Chennai Super Kings,MS Dhoni
1443,7,Chennai Super Kings,Baba Aparajith
1444,7,Chennai Super Kings,Ravichandran Ashwin
1445,7,Chennai Super Kings,Samuel Badree
1446,7,Chennai Super Kings,Faf du Plessis
1447,7,Chennai Super Kings,John Hastings
1448,7,Chennai Super Kings,Matt Henry
1449,7,Chennai Super Kings,Ben Hilfenhaus
1450,7,Chennai Super Kings,David Hussey
1451,7,Chennai Super Kings,Ravindra Jadeja
1452,7,Chennai Super Kings,Brendon McCullum
1453,7,Chennai Super Kings,Mithun Manhas
1454,7,Chennai Super Kings,Ronit More
1455,7,Chennai Super Kings,Pawan Negi
1456,7,Chennai Super Kings,Ashish Nehra
1457,7,Chennai Super Kings,Ishwar Pandey
1458,7,Chennai Super Kings,Suresh Raina
1459,7,Chennai Super Kings,Vijay Shankar
1460,7,Chennai Super Kings,Mohit Sharma
1461,7,Chennai Super Kings,Dwayne Smith
1462,7,Chennai Super Kings,Dwayne Bravo
1463,7,Delhi Daredevils,Kevin Pietersen
1464,7,Delhi Daredevils,Mayank Agarwal
1465,7,Delhi Daredevils,Quinton de Kock
1466,7,Delhi Daredevils,Jean-Paul Duminy
1467,7,Delhi Daredevils,Imran Tahir
1468,7,Delhi Daredevils,Kedar Jadhav
1469,7,Delhi Daredevils,Dinesh Karthik
1470,7,Delhi Daredevils,Siddarth Kaul
1471,7,Delhi Daredevils,Milind Kumar
1472,7,Delhi Daredevils,Mohammed Shami
1473,7,Delhi Daredevils,Shahbaz Nadeem
1474,7,Delhi Daredevils,James Neesham
1475,7,Delhi Daredevils,Wayne Parnell
1476,7,Delhi Daredevils,HS Sharath
1477,7,Delhi Daredevils,Rahul Sharma
1478,7,Delhi Daredevils,Laxmi Shukla
1479,7,Delhi Daredevils,Rahul Shukla
1480,7,Delhi Daredevils,Ross Taylor
1481,7,Delhi Daredevils,Manoj Tiwary
1482,7,Delhi Daredevils,Saurabh Tiwary
1483,7,Delhi Daredevils,Jaydev Unadkat
1484,7,Delhi Daredevils,Murali Vijay
1485,7,Delhi Daredevils,Jayant Yadav
1486,7,Delhi Daredevils,Nathan Coulter-Nile
1487,7,Kings XI Punjab,George Bailey
1488,7,Kings XI Punjab,Anureet Singh
1489,7,Kings XI Punjab,Parvinder Awana
1490,7,Kings XI Punjab,Lakshmipathy Balaji
1491,7,Kings XI Punjab,Rishi Dhawan
1492,7,Kings XI Punjab,Gurkeerat Singh Mann
1493,7,Kings XI Punjab,Beuran Hendricks
1494,7,Kings XI Punjab,Mitchell Johnson
1495,7,Kings XI Punjab,Karanveer Singh
1496,7,Kings XI Punjab,Murali Kartik
1497,7,Kings XI Punjab,Mandeep Singh
1498,7,Kings XI Punjab,Shaun Marsh
1499,7,Kings XI Punjab,Glenn Maxwell
1500,7,Kings XI Punjab,David Miller
1501,7,Kings XI Punjab,Axar Patel
1502,7,Kings XI Punjab,Thisara Perera
1503,7,Kings XI Punjab,Cheteshwar Pujara
1504,7,Kings XI Punjab,Wriddhiman Saha
1505,7,Kings XI Punjab,Sandeep Sharma
1506,7,Kings XI Punjab,Virender Sehwag
1507,7,Kings XI Punjab,Shivam Sharma
1508,7,Kings XI Punjab,Shardul Thakur
1509,7,Kings XI Punjab,Manan Vohra
1510,7,Kolkata Knight Riders,Gautam Gambhir
1511,7,Kolkata Knight Riders,Manvinder Bisla
1512,7,Kolkata Knight Riders,Piyush Chawla
1513,7,Kolkata Knight Riders,Pat Cummins
1514,7,Kolkata Knight Riders,Debabrata Das
1515,7,Kolkata Knight Riders,Jacques Kallis
1516,7,Kolkata Knight Riders,Kuldeep Yadav
1517,7,Kolkata Knight Riders,Chris Lynn
1518,7,Kolkata Knight Riders,Sayan Mondal
1519,7,Kolkata Knight Riders,Morne Morkel
1520,7,Kolkata Knight Riders,Sunil Narine
1521,7,Kolkata Knight Riders,Manish Pandey
1522,7,Kolkata Knight Riders,Yusuf Pathan
1523,7,Kolkata Knight Riders,Veer Pratap Singh
1524,7,Kolkata Knight Riders,Andre Russell
1525,7,Kolkata Knight Riders,Shakib Al Hasan
1526,7,Kolkata Knight Riders,Ryan ten Doeschate
1527,7,Kolkata Knight Riders,Robin Uthappa
1528,7,Kolkata Knight Riders,Vinay Kumar
1529,7,Kolkata Knight Riders,Suryakumar Yadav
1530,7,Kolkata Knight Riders,Umesh Yadav
1531,7,Mumbai Indians,Rohit Sharma
1532,7,Mumbai Indians,Corey Anderson
1533,7,Mumbai Indians,Jasprit Bumrah
1534,7,Mumbai Indians,Marchant de Lange
1535,7,Mumbai Indians,Ben Dunk
1536,7,Mumbai Indians,Chidhambaram Gautam
1537,7,Mumbai Indians,Shreyas Gopal
1538,7,Mumbai Indians,Harbhajan Singh
1539,7,Mumbai Indians,Josh Hazlewood
1540,7,Mumbai Indians,Michael Hussey
1541,7,Mumbai Indians,Praveen Kumar
1542,7,Mumbai Indians,Lasith Malinga
1543,7,Mumbai Indians,Sushant Marathe
1544,7,Mumbai Indians,Pragyan Ojha
1545,7,Mumbai Indians,Kieron Pollard
1546,7,Mumbai Indians,Ambati Rayudu
1547,7,Mumbai Indians,Krishmar Santokie
1548,7,Mumbai Indians,Lendl Simmons
1549,7,Mumbai Indians,Pawan Suyal
1550,7,Mumbai Indians,Aditya Tare
1551,7,Mumbai Indians,Apoorv Wankhade
1552,7,Mumbai Indians,Zaheer Khan
1553,7,Mumbai Indians,Jalaj Saxena
1554,7,Rajasthan Royals,Shane Watson
1555,7,Rajasthan Royals,Amit Mishra
1556,7,Rajasthan Royals,Ankit Sharma
1557,7,Rajasthan Royals,Ankush Bains
1558,7,Rajasthan Royals,Rajat Bhatia
1559,7,Rajasthan Royals,Stuart Binny
1560,7,Rajasthan Royals,Unmukt Chand
1561,7,Rajasthan Royals,Kevon Cooper
1562,7,Rajasthan Royals,Ben Cutting
1563,7,Rajasthan Royals,James Faulkner
1564,7,Rajasthan Royals,Brad Hodge
1565,7,Rajasthan Royals,Deepak Hooda
1566,7,Rajasthan Royals,Iqbal Abdulla
1567,7,Rajasthan Royals,Dhawal Kulkarni
1568,7,Rajasthan Royals,Vikramjeet Malik
1569,7,Rajasthan Royals,Karun Nair
1570,7,Rajasthan Royals,Abhishek Nayar
1571,7,Rajasthan Royals,Ajinkya Rahane
1572,7,Rajasthan Royals,Kane Richardson
1573,7,Rajasthan Royals,Sanju Samson
1574,7,Rajasthan Royals,Steven Smith
1575,7,Rajasthan Royals,Tim Southee
1576,7,Rajasthan Royals,Pravin Tambe
1577,7,Rajasthan Royals,Rahul Tewatia
1578,7,Rajasthan Royals,Dishant Yagnik
1579,7,Royal Challengers Bangalore,Virat Kohli
1580,7,Royal Challengers Bangalore,Varun Aaron
1581,7,Royal Challengers Bangalore,Abu Nechim
1582,7,Royal Challengers Bangalore,Yuzvendra Chahal
1583,7,Royal Challengers Bangalore,AB de Villiers
1584,7,Royal Challengers Bangalore,Ashok Dinda
1585,7,Royal Challengers Bangalore,Chris Gayle
1586,7,Royal Challengers Bangalore,Shadab Jakati
1587,7,Royal Challengers Bangalore,Tanmay Mishra
1588,7,Royal Challengers Bangalore,Albie Morkel
1589,7,Royal Challengers Bangalore,Muttiah Muralitharan
1590,7,Royal Challengers Bangalore,Harshal Patel
1591,7,Royal Challengers Bangalore,Parthiv Patel
1592,7,Royal Challengers Bangalore,Ravi Rampaul
1593,7,Royal Challengers Bangalore,Sachin Rana
1594,7,Royal Challengers Bangalore,Rilee Rossouw
1595,7,Royal Challengers Bangalore,Sandeep Warrier
1596,7,Royal Challengers Bangalore,Mitchell Starc
1597,7,Royal Challengers Bangalore,Yogesh Takawale
1598,7,Royal Challengers Bangalore,Yuvraj Singh
1599,7,Royal Challengers Bangalore,Vijay Zol
1600,7,Royal Challengers Bangalore,Nic Maddinson
1601,7,Sunrisers Hyderabad,Daren Sammy
1602,7,Sunrisers Hyderabad,Srikkanth Anirudha
1603,7,Sunrisers Hyderabad,Ashish Reddy
1604,7,Sunrisers Hyderabad,Ricky Bhui
1605,7,Sunrisers Hyderabad,Shikhar Dhawan
1606,7,Sunrisers Hyderabad,Aaron Finch
1607,7,Sunrisers Hyderabad,Moises Henriques
1608,7,Sunrisers Hyderabad,Jason Holder
1609,7,Sunrisers Hyderabad,Manprit Juneja
1610,7,Sunrisers Hyderabad,Bhuvneshwar Kumar
1611,7,Sunrisers Hyderabad,Chama Milind
1612,7,Sunrisers Hyderabad,Amit Mishra
1613,7,Sunrisers Hyderabad,Naman Ojha
1614,7,Sunrisers Hyderabad,Prasanth Parameswaran
1615,7,Sunrisers Hyderabad,Parvez Rasool
1616,7,Sunrisers Hyderabad,Irfan Pathan
1617,7,Sunrisers Hyderabad,Amit Paunikar
1618,7,Sunrisers Hyderabad,KL Rahul
1619,7,Sunrisers Hyderabad,Ishant Sharma
1620,7,Sunrisers Hyderabad,Karn Sharma
1621,7,Sunrisers Hyderabad,Dale Steyn
1622,7,Sunrisers Hyderabad,Brendan Taylor
1623,7,Sunrisers Hyderabad,Venugopal Rao
1624,7,Sunrisers Hyderabad,David Warner
1625,8,Chennai Super Kings,MS Dhoni
1626,8,Chennai Super Kings,Kyle Abbott
1627,8,Chennai Super Kings,Baba Aparajith
1628,8,Chennai Super Kings,Ravichandran Ashwin
1629,8,Chennai Super Kings,Samuel Badree
1630,8,Chennai Super Kings,Ankush Bains
1631,8,Chennai Super Kings,Dwayne Bravo
1632,8,Chennai Super Kings,Faf du Plessis
1633,8,Chennai Super Kings,Eklavya Dwivedi
1634,8,Chennai Super Kings,Matt Henry
1635,8,Chennai Super Kings,Michael Hussey
1636,8,Chennai Super Kings,Ravindra Jadeja
1637,8,Chennai Super Kings,Brendon McCullum
1638,8,Chennai Super Kings,Mithun Manhas
1639,8,Chennai Super Kings,Ronit More
1640,8,Chennai Super Kings,Pawan Negi
1641,8,Chennai Super Kings,Ashish Nehra
1642,8,Chennai Super Kings,Ishwar Pandey
1643,8,Chennai Super Kings,Irfan Pathan
1644,8,Chennai Super Kings,Pratyush Singh
1645,8,Chennai Super Kings,Suresh Raina
1646,8,Chennai Super Kings,Mohit Sharma
1647,8,Chennai Super Kings,Rahul Sharma
1648,8,Chennai Super Kings,Dwayne Smith
1649,8,Chennai Super Kings,Andrew Tye
1650,8,Delhi Daredevils,Jean-Paul Duminy
1651,8,Delhi Daredevils,Mayank Agarwal
1652,8,Delhi Daredevils,Srikar Bharat
1653,8,Delhi Daredevils,Nathan Coulter-Nile
1654,8,Delhi Daredevils,Quinton de Kock
1655,8,Delhi Daredevils,Chidhambaram Gautam
1656,8,Delhi Daredevils,Travis Head
1657,8,Delhi Daredevils,Imran Tahir
1658,8,Delhi Daredevils,Shreyas Iyer
1659,8,Delhi Daredevils,Kedar Jadhav
1660,8,Delhi Daredevils,KK Jiyas
1661,8,Delhi Daredevils,Zaheer Khan
1662,8,Delhi Daredevils,Angelo Mathews
1663,8,Delhi Daredevils,Amit Mishra
1664,8,Delhi Daredevils,Mohammed Shami
1665,8,Delhi Daredevils,Albie Morkel
1666,8,Delhi Daredevils,Domnic Muthuswami
1667,8,Delhi Daredevils,Shahbaz Nadeem
1668,8,Delhi Daredevils,Gurinder Sandhu
1669,8,Delhi Daredevils,Marcus Stoinis
1670,8,Delhi Daredevils,Manoj Tiwary
1671,8,Delhi Daredevils,Saurabh Tiwary
1672,8,Delhi Daredevils,Jaydev Unadkat
1673,8,Delhi Daredevils,Jayant Yadav
1674,8,Delhi Daredevils,Yuvraj Singh
1675,8,Kings XI Punjab,George Bailey
1676,8,Kings XI Punjab,Anureet Singh
1677,8,Kings XI Punjab,Parvinder Awana
1678,8,Kings XI Punjab,Rishi Dhawan
1679,8,Kings XI Punjab,Yogesh Golwalkar
1680,8,Kings XI Punjab,Gurkeerat Singh Mann
1681,8,Kings XI Punjab,Beuran Hendricks
1682,8,Kings XI Punjab,Mitchell Johnson
1683,8,Kings XI Punjab,Karanveer Singh
1684,8,Kings XI Punjab,Shaun Marsh
1685,8,Kings XI Punjab,Glenn Maxwell
1686,8,Kings XI Punjab,David Miller
1687,8,Kings XI Punjab,Nikhil Naik
1688,8,Kings XI Punjab,Axar Patel
1689,8,Kings XI Punjab,Thisara Perera
1690,8,Kings XI Punjab,Wriddhiman Saha
1691,8,Kings XI Punjab,Sandeep Sharma
1692,8,Kings XI Punjab,Virender Sehwag
1693,8,Kings XI Punjab,Shivam Sharma
1694,8,Kings XI Punjab,Shardul Thakur
1695,8,Kings XI Punjab,Murali Vijay
1696,8,Kings XI Punjab,Manan Vohra
1697,8,Kolkata Knight Riders,Gautam Gambhir
1698,8,Kolkata Knight Riders,Azhar Mahmood
1699,8,Kolkata Knight Riders,Johan Botha
1700,8,Kolkata Knight Riders,KC Cariappa
1701,8,Kolkata Knight Riders,Piyush Chawla
1702,8,Kolkata Knight Riders,Pat Cummins
1703,8,Kolkata Knight Riders,Aditya Garhwal
1704,8,Kolkata Knight Riders,Brad Hogg
1705,8,Kolkata Knight Riders,Sheldon Jackson
1706,8,Kolkata Knight Riders,Kuldeep Yadav
1707,8,Kolkata Knight Riders,Morne Morkel
1708,8,Kolkata Knight Riders,Sunil Narine
1709,8,Kolkata Knight Riders,Sumit Narwal
1710,8,Kolkata Knight Riders,Manish Pandey
1711,8,Kolkata Knight Riders,Yusuf Pathan
1712,8,Kolkata Knight Riders,Veer Pratap Singh
1713,8,Kolkata Knight Riders,Vaibhav Rawal
1714,8,Kolkata Knight Riders,Andre Russell
1715,8,Kolkata Knight Riders,Shakib Al Hasan
1716,8,Kolkata Knight Riders,Ryan ten Doeschate
1717,8,Kolkata Knight Riders,Robin Uthappa
1718,8,Kolkata Knight Riders,Suryakumar Yadav
1719,8,Kolkata Knight Riders,Umesh Yadav
1720,8,Kolkata Knight Riders,Chris Lynn
1721,8,Kolkata Knight Riders,James Neesham
1722,8,Mumbai Indians,Rohit Sharma
1723,8,Mumbai Indians,Corey Anderson
1724,8,Mumbai Indians,Aiden Blizzard
1725,8,Mumbai Indians,Jasprit Bumrah
1726,8,Mumbai Indians,Unmukt Chand
1727,8,Mumbai Indians,Marchant de Lange
1728,8,Mumbai Indians,Shreyas Gopal
1729,8,Mumbai Indians,Alex Hales
1730,8,Mumbai Indians,Harbhajan Singh
1731,8,Mumbai Indians,Ben Hilfenhaus
1732,8,Mumbai Indians,Siddhesh Lad
1733,8,Mumbai Indians,Mitchell McClenaghan
