,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams
3554,Stuart Binny,1,0,8,1,8,2,1,0,0,0,1,548354,5,25,Rajasthan Royals
3555,Robin Peterson,2,0,22,0,11,4,2,1,0,0,2,548355,5,0,Mumbai Indians
3556,RP Singh,4,0,28,3,7,14,3,1,1,0,2,548355,5,79,Mumbai Indians
3557,Munaf Patel,4,0,46,0,11.5,5,2,4,1,0,2,548355,5,0,Mumbai Indians
3558,Lasith Malinga,4,0,25,3,6.25,11,3,0,1,0,2,548355,5,79,Mumbai Indians
3559,Harbhajan Singh,3,0,14,0,4.67,7,0,0,2,0,2,548355,5,6,Mumbai Indians
3560,Dwayne Smith,2,0,26,0,13,3,2,2,0,0,2,548355,5,-6,Mumbai Indians
3561,James Franklin,1,0,8,1,8,2,1,0,0,0,2,548355,5,25,Mumbai Indians
3562,Ben Hilfenhaus,4,1,34,2,8.5,13,4,2,0,0,1,548355,5,62,Chennai Super Kings
3563,Albie Morkel,3,0,34,0,11.33,8,6,1,0,0,1,548355,5,0,Chennai Super Kings
3564,Ravichandran Ashwin,4,0,28,1,7,5,2,0,1,0,1,548355,5,25,Chennai Super Kings
3565,Dwayne Bravo,4,0,39,2,9.75,7,5,1,2,0,1,548355,5,50,Chennai Super Kings
3566,Shadab Jakati,3,0,27,0,9,5,3,1,0,0,1,548355,5,0,Chennai Super Kings
3567,Ravindra Jadeja,2,0,12,2,6,4,1,0,0,0,1,548355,5,50,Chennai Super Kings
3568,Zaheer Khan,4,0,32,0,8,10,2,2,1,0,2,548356,5,0,Royal Challengers Bangalore
3569,Abhimanyu Mithun,3,0,33,0,11,6,5,1,1,0,2,548356,5,0,Royal Challengers Bangalore
3570,Prasanth Parameswaran,4,0,45,1,11.25,7,5,2,1,0,2,548356,5,25,Royal Challengers Bangalore
3571,Muttiah Muralitharan,4,0,18,0,4.5,10,1,0,0,0,2,548356,5,6,Royal Challengers Bangalore
3572,Tillakaratne Dilshan,1,0,17,0,17,2,1,2,0,0,2,548356,5,0,Royal Challengers Bangalore
3573,Jamaluddin Syed Mohammad,3,0,27,0,9,4,0,2,0,0,2,548356,5,0,Royal Challengers Bangalore
3574,Chris Gayle,1,0,6,0,6,3,1,0,0,0,2,548356,5,0,Royal Challengers Bangalore
3575,Shikhar Dhawan,1,0,11,0,11,1,2,0,0,0,1,548356,5,0,Deccan Chargers
3576,Dale Steyn,3,1,30,0,10,9,3,2,0,0,1,548356,5,12,Deccan Chargers
3577,Veer Pratap Singh,3,0,34,1,11.33,4,3,2,1,0,1,548356,5,25,Deccan Chargers
3578,Anand Rajan,3.5,0,44,1,11.48,7,5,2,2,0,1,548356,5,25,Deccan Chargers
3579,Ashish Reddy,4,0,36,1,9,11,3,2,1,0,1,548356,5,25,Deccan Chargers
3580,Amit Mishra,4,0,28,2,7,7,1,1,0,0,1,548356,5,50,Deccan Chargers
3581,Brett Lee,4,1,39,1,9.75,9,5,1,1,0,2,548357,5,37,Kolkata Knight Riders
3582,Pradeep Sangwan,4,0,42,1,10.5,5,4,1,1,0,2,548357,5,25,Kolkata Knight Riders
3583,Jacques Kallis,4,0,20,2,5,11,2,0,0,0,2,548357,5,50,Kolkata Knight Riders
3584,Sunil Narine,4,0,23,2,5.75,14,1,1,1,0,2,548357,5,50,Kolkata Knight Riders
3585,Rajat Bhatia,4,0,26,0,6.5,8,1,1,0,0,2,548357,5,0,Kolkata Knight Riders
3586,Irfan Pathan,3,0,28,0,9.33,6,4,0,1,0,1,548357,5,0,Delhi Daredevils
3587,Shahbaz Nadeem,4,0,32,0,8,7,3,1,0,0,1,548357,5,0,Delhi Daredevils
3588,Morne Morkel,4,0,35,1,8.75,6,3,0,1,0,1,548357,5,25,Delhi Daredevils
3589,Umesh Yadav,4,0,30,2,7.5,10,3,0,3,0,1,548357,5,50,Delhi Daredevils
3590,Varun Aaron,3.4,0,20,1,5.45,12,1,0,2,0,1,548357,5,25,Delhi Daredevils
3591,Ankeet Chavan,2,0,20,0,10,5,0,2,1,0,2,548358,5,0,Rajasthan Royals
3592,Shaun Tait,4,0,13,3,3.25,16,0,0,0,0,2,548358,5,85,Rajasthan Royals
3593,Shane Watson,4,0,28,0,7,6,2,0,1,0,2,548358,5,0,Rajasthan Royals
3594,Johan Botha,4,0,25,1,6.25,10,3,0,0,0,2,548358,5,25,Rajasthan Royals
3595,Stuart Binny,3,0,12,1,4,7,0,0,0,0,2,548358,5,31,Rajasthan Royals
3596,Siddharth Trivedi,3,0,20,0,6.67,1,0,0,1,0,2,548358,5,0,Rajasthan Royals
3597,Wayne Parnell,2,0,12,1,6,6,2,0,0,0,1,548358,5,25,Pune Warriors
3598,Bhuvneshwar Kumar,3,0,17,1,5.67,8,2,0,0,0,1,548358,5,25,Pune Warriors
3599,Murali Kartik,3,0,32,0,10.67,8,2,3,0,0,1,548358,5,0,Pune Warriors
3600,Ashish Nehra,3,0,33,0,11,6,5,1,0,0,1,548358,5,0,Pune Warriors
3601,Angelo Mathews,3,0,15,0,5,3,0,0,0,0,1,548358,5,0,Pune Warriors
3602,Michael Clarke,2,0,12,1,6,4,1,0,0,0,1,548358,5,25,Pune Warriors
3603,Steven Smith,0.2,0,5,0,15,0,1,0,0,0,1,548358,5,0,Pune Warriors
3604,Abhishek Jhunjhunwala,2,0,12,0,6,4,1,0,0,0,2,548359,5,0,Deccan Chargers
3605,Veer Pratap Singh,4,0,45,1,11.25,8,5,2,2,0,2,548359,5,25,Deccan Chargers
3606,Rusty Theron,4,0,29,0,7.25,9,4,0,0,0,2,548359,5,0,Deccan Chargers
3607,Shikhar Dhawan,2,0,8,1,4,5,0,0,0,0,2,548359,5,31,Deccan Chargers
3608,Ashish Reddy,4,0,39,2,9.75,8,3,2,1,0,2,548359,5,50,Deccan Chargers
3609,Amit Mishra,2,0,20,0,10,5,2,1,0,0,2,548359,5,0,Deccan Chargers
3610,Daniel Harris,2,0,15,0,7.5,4,2,0,0,0,2,548359,5,0,Deccan Chargers
3611,Ramesh Powar,3,0,32,0,10.67,3,3,1,0,0,1,548359,5,0,Kings XI Punjab
3612,Praveen Kumar,4,0,15,2,3.75,13,1,0,0,0,1,548359,5,56,Kings XI Punjab
3613,Piyush Chawla,4,0,33,1,8.25,7,1,2,0,0,1,548359,5,25,Kings XI Punjab
3614,Parvinder Awana,4,0,27,2,6.75,11,2,1,1,0,1,548359,5,50,Kings XI Punjab
3615,Azhar Mahmood,4,0,31,0,7.75,8,3,0,2,0,1,548359,5,0,Kings XI Punjab
3616,David Hussey,1,0,2,2,2,4,0,0,0,0,1,548359,5,50,Kings XI Punjab
3617,Zaheer Khan,4,0,16,0,4,14,2,0,0,0,2,548360,5,6,Royal Challengers Bangalore
3618,Vinay Kumar,4,0,34,2,8.5,12,3,2,1,0,2,548360,5,50,Royal Challengers Bangalore
3619,Harshal Patel,4,0,24,2,6,11,3,0,0,0,2,548360,5,50,Royal Challengers Bangalore
3620,Jamaluddin Syed Mohammad,4,0,38,0,9.5,5,3,1,1,0,2,548360,5,0,Royal Challengers Bangalore
3621,Muttiah Muralitharan,4,0,24,2,6,8,1,0,0,0,2,548360,5,50,Royal Challengers Bangalore
3622,Lasith Malinga,4,0,20,0,5,14,3,0,1,0,1,548360,5,0,Mumbai Indians
3623,RP Singh,4,0,28,0,7,10,3,1,0,0,1,548360,5,0,Mumbai Indians
3624,Kieron Pollard,3,0,33,0,11,3,2,2,1,0,1,548360,5,0,Mumbai Indians
3625,Harbhajan Singh,4,0,18,0,4.5,10,1,0,0,0,1,548360,5,6,Mumbai Indians
3626,Pragyan Ojha,2,0,25,1,12.5,5,0,3,0,1,1,548360,5,19,Mumbai Indians
3627,Rohit Sharma,1,0,16,0,16,1,0,2,0,0,1,548360,5,0,Mumbai Indians
3628,Albie Morkel,3,0,19,0,6.33,12,4,0,1,0,2,548361,5,0,Chennai Super Kings
3629,Ben Hilfenhaus,4,1,8,2,2,17,0,0,0,0,2,548361,5,68,Chennai Super Kings
3630,Yo Mahesh,4,0,21,2,5.25,10,1,0,3,0,2,548361,5,50,Chennai Super Kings
3631,Dwayne Bravo,3,0,38,0,12.67,4,5,1,2,0,2,548361,5,-6,Chennai Super Kings
3632,Ravindra Jadeja,4,0,21,1,5.25,9,2,0,0,0,2,548361,5,25,Chennai Super Kings
3633,Ravichandran Ashwin,2,0,13,1,6.5,5,0,1,0,0,2,548361,5,25,Chennai Super Kings
3634,Shane Watson,3,0,32,1,10.67,9,4,2,1,0,1,548361,5,25,Rajasthan Royals
3635,Pankaj Singh,4,0,34,2,8.5,12,5,1,1,0,1,548361,5,50,Rajasthan Royals
3636,Shaun Tait,3.1,0,20,0,6.32,14,0,1,4,1,1,548361,5,0,Rajasthan Royals
3637,Johan Botha,4,0,23,0,5.75,8,2,0,0,0,1,548361,5,0,Rajasthan Royals
3638,Siddharth Trivedi,4,0,18,2,4.5,13,0,1,1,0,1,548361,5,56,Rajasthan Royals
3639,Krishnakant Upadhyay,4,0,33,0,8.25,10,3,2,0,0,2,548362,5,0,Pune Warriors
3640,Alfonso Thomas,4,0,46,0,11.5,6,4,2,1,1,2,548362,5,0,Pune Warriors
3641,Bhuvneshwar Kumar,4,0,40,0,10,10,1,4,1,0,2,548362,5,0,Pune Warriors
3642,Angelo Mathews,3,0,14,1,4.67,9,1,0,1,0,2,548362,5,31,Pune Warriors
3643,Rahul Sharma,4,0,31,1,7.75,8,3,1,1,0,2,548362,5,25,Pune Warriors
3644,Michael Clarke,1,0,5,0,5,4,1,0,0,0,2,548362,5,0,Pune Warriors
3645,Zaheer Khan,4,0,21,2,5.25,12,2,0,0,0,1,548362,5,50,Royal Challengers Bangalore
3646,Vinay Kumar,4,0,32,3,8,9,3,1,0,0,1,548362,5,79,Royal Challengers Bangalore
3647,Harshal Patel,4,0,36,1,9,7,4,1,0,0,1,548362,5,25,Royal Challengers Bangalore
3648,KP Appanna,4,0,30,1,7.5,9,4,0,1,0,1,548362,5,25,Royal Challengers Bangalore
3649,Muttiah Muralitharan,4,0,16,2,4,11,1,0,0,0,1,548362,5,56,Royal Challengers Bangalore
3650,Shakib Al Hasan,4,0,27,1,6.75,12,2,1,0,0,2,548363,5,25,Kolkata Knight Riders
3651,Brett Lee,4,0,44,0,11,9,6,2,1,0,2,548363,5,0,Kolkata Knight Riders
3652,Sunil Narine,4,0,28,0,7,11,3,1,0,0,2,548363,5,0,Kolkata Knight Riders
3653,Jacques Kallis,4,0,40,0,10,4,4,1,2,0,2,548363,5,0,Kolkata Knight Riders
3654,Rajat Bhatia,4,0,41,0,10.25,5,4,2,0,0,2,548363,5,0,Kolkata Knight Riders
3655,Munaf Patel,4,0,32,1,8,10,4,1,0,0,1,548363,5,25,Mumbai Indians
3656,Pragyan Ojha,3,0,26,1,8.67,6,1,2,0,0,1,548363,5,25,Mumbai Indians
3657,Lasith Malinga,4,0,27,0,6.75,5,2,0,0,0,1,548363,5,0,Mumbai Indians
3658,Harbhajan Singh,1,0,7,0,7,4,0,1,0,0,1,548363,5,0,Mumbai Indians
3659,Kieron Pollard,4,0,29,1,7.25,6,3,0,1,0,1,548363,5,25,Mumbai Indians
3660,Dwayne Smith,4,0,32,1,8,6,4,0,0,1,1,548363,5,25,Mumbai Indians
3661,Ben Hilfenhaus,4,0,27,3,6.75,14,3,1,2,0,2,548364,5,79,Chennai Super Kings
3662,Albie Morkel,4,0,15,1,3.75,15,1,0,1,0,2,548364,5,31,Chennai Super Kings
3663,Dwayne Bravo,4,0,22,0,5.5,8,0,0,2,0,2,548364,5,0,Chennai Super Kings
3664,Shadab Jakati,3,0,20,0,6.67,4,0,1,0,0,2,548364,5,0,Chennai Super Kings
3665,Ravindra Jadeja,1,0,11,0,11,0,0,1,0,0,2,548364,5,0,Chennai Super Kings
3666,Ravichandran Ashwin,4,0,17,1,4.25,9,0,0,0,0,2,548364,5,31,Chennai Super Kings
3667,Morne Morkel,4,0,31,0,7.75,12,4,1,0,0,1,548364,5,0,Delhi Daredevils
3668,Umesh Yadav,3,0,24,0,8,8,4,0,1,0,1,548364,5,0,Delhi Daredevils
3669,Varun Aaron,3.2,0,28,0,8.4,10,1,2,0,0,1,548364,5,0,Delhi Daredevils
3670,Roelof van der Merwe,3,0,17,0,5.67,7,1,0,0,0,1,548364,5,0,Delhi Daredevils
3671,Irfan Pathan,2,0,15,1,7.5,5,1,1,0,0,1,548364,5,25,Delhi Daredevils
3672,Murali Kartik,4,0,39,0,9.75,7,1,2,2,0,2,548365,5,0,Pune Warriors
3673,Ashish Nehra,4,0,23,3,5.75,13,3,0,0,0,2,548365,5,79,Pune Warriors
3674,Bhuvneshwar Kumar,4,0,33,0,8.25,8,4,1,0,0,2,548365,5,0,Pune Warriors
3675,Rahul Sharma,3,0,31,0,10.33,3,5,0,0,0,2,548365,5,0,Pune Warriors
3676,Angelo Mathews,4,0,29,1,7.25,9,3,0,0,0,2,548365,5,25,Pune Warriors
3677,Jesse Ryder,1,0,15,0,15,2,2,1,0,0,2,548365,5,0,Pune Warriors
3678,Ajit Chandila,4,0,13,4,3.25,15,1,0,0,0,1,548365,5,114,Rajasthan Royals
3679,Shane Watson,3,0,19,2,6.33,9,3,0,1,0,1,548365,5,50,Rajasthan Royals
3680,Shaun Tait,4,0,25,1,6.25,9,2,0,0,1,1,548365,5,25,Rajasthan Royals
3681,Johan Botha,4,0,25,2,6.25,7,2,0,0,0,1,548365,5,50,Rajasthan Royals
3682,Siddharth Trivedi,3,0,24,0,8,3,3,0,0,0,1,548365,5,0,Rajasthan Royals
3683,Stuart Binny,2,0,17,0,8.5,2,1,0,0,0,1,548365,5,0,Rajasthan Royals
3684,Brett Lee,4,0,40,2,10,10,6,1,1,0,2,597998,6,50,Kolkata Knight Riders
3685,Jacques Kallis,3,0,23,0,7.67,10,4,0,2,0,2,597998,6,0,Kolkata Knight Riders
3686,Lakshmipathy Balaji,4,0,20,1,5,10,2,0,0,0,2,597998,6,25,Kolkata Knight Riders
3687,Sunil Narine,4,0,13,4,3.25,14,0,0,0,0,2,597998,6,114,Kolkata Knight Riders
3688,Rajat Bhatia,4,0,23,2,5.75,8,2,0,1,0,2,597998,6,50,Kolkata Knight Riders
3689,Laxmi Shukla,1,0,8,0,8,2,1,0,0,0,2,597998,6,0,Kolkata Knight Riders
3690,Irfan Pathan,2,1,15,0,7.5,8,2,1,0,0,1,597998,6,12,Delhi Daredevils
3691,Ashish Nehra,3,0,20,1,6.67,10,4,0,0,0,1,597998,6,25,Delhi Daredevils
3692,Umesh Yadav,3,0,23,0,7.67,7,3,0,2,0,1,597998,6,0,Delhi Daredevils
3693,Shahbaz Nadeem,4,0,22,2,5.5,9,2,0,0,0,1,597998,6,50,Delhi Daredevils
3694,Johan Botha,3.4,0,22,1,6,8,2,0,0,0,1,597998,6,25,Delhi Daredevils
3695,Andre Russell,3,0,24,0,8,5,1,1,1,0,1,597998,6,0,Delhi Daredevils
3696,Mitchell Johnson,3,0,15,1,5,11,2,0,2,0,2,597999,6,25,Mumbai Indians
3697,Munaf Patel,4,0,40,0,10,11,4,3,0,0,2,597999,6,0,Mumbai Indians
3698,Jasprit Bumrah,4,0,32,3,8,12,5,1,0,0,2,597999,6,79,Mumbai Indians
3699,Jacob Oram,4,0,22,0,5.5,14,3,0,2,0,2,597999,6,0,Mumbai Indians
3700,Harbhajan Singh,4,0,21,1,5.25,15,2,1,1,0,2,597999,6,25,Mumbai Indians
3701,Kieron Pollard,1,0,15,0,15,2,2,1,0,0,2,597999,6,0,Mumbai Indians
3702,Jaydev Unadkat,4,0,26,0,6.5,8,3,0,0,0,1,597999,6,0,Royal Challengers Bangalore
3703,Daniel Christian,4,0,42,0,10.5,9,1,4,0,1,1,597999,6,0,Royal Challengers Bangalore
3704,Vinay Kumar,4,0,27,3,6.75,9,3,0,0,0,1,597999,6,79,Royal Challengers Bangalore
3705,Muttiah Muralitharan,4,0,30,0,7.5,9,3,1,0,0,1,597999,6,0,Royal Challengers Bangalore
3706,Murali Kartik,4,0,24,1,6,9,1,0,1,0,1,597999,6,25,Royal Challengers Bangalore
3707,Marlon Samuels,4,0,34,1,8.5,8,3,1,1,0,2,598000,6,25,Pune Warriors
3708,Bhuvneshwar Kumar,4,0,17,1,4.25,12,1,0,0,0,2,598000,6,31,Pune Warriors
3709,Ashok Dinda,4,0,29,2,7.25,10,4,0,1,0,2,598000,6,50,Pune Warriors
3710,Angelo Mathews,2,0,16,0,8,2,2,0,0,0,2,598000,6,0,Pune Warriors
3711,Rahul Sharma,4,0,21,1,5.25,9,2,0,0,0,2,598000,6,25,Pune Warriors
3712,Yuvraj Singh,2,0,8,1,4,6,0,0,0,0,2,598000,6,31,Pune Warriors
3713,Dale Steyn,3.5,0,11,3,2.87,14,0,0,0,0,1,598000,6,85,Sunrisers Hyderabad
3714,Ishant Sharma,4,0,22,0,5.5,13,0,1,1,0,1,598000,6,0,Sunrisers Hyderabad
3715,Thisara Perera,4,0,29,2,7.25,11,4,0,1,0,1,598000,6,50,Sunrisers Hyderabad
3716,Amit Mishra,4,0,19,3,4.75,10,1,0,0,0,1,598000,6,85,Sunrisers Hyderabad
3717,Cameron White,1,0,2,0,2,4,0,0,0,0,1,598000,6,0,Sunrisers Hyderabad
3718,Ashish Reddy,2,0,21,1,10.5,2,1,1,0,0,1,598000,6,25,Sunrisers Hyderabad
3719,Irfan Pathan,4,0,31,0,7.75,8,3,1,0,0,2,598001,6,0,Delhi Daredevils
3720,Ashish Nehra,4,0,35,2,8.75,10,3,1,1,0,2,598001,6,50,Delhi Daredevils
3721,Umesh Yadav,4,0,24,4,6,11,3,0,0,0,2,598001,6,108,Delhi Daredevils
3722,Andre Russell,3,0,31,0,10.33,4,3,1,1,0,2,598001,6,0,Delhi Daredevils
3723,Shahbaz Nadeem,4,0,22,1,5.5,7,1,0,0,0,2,598001,6,25,Delhi Daredevils
3724,Johan Botha,1,0,19,0,19,0,1,2,0,0,2,598001,6,0,Delhi Daredevils
3725,Samuel Badree,4,0,34,0,8.5,8,3,1,1,0,1,598001,6,0,Rajasthan Royals
3726,Sreesanth,4,0,18,1,4.5,15,3,0,0,0,1,598001,6,31,Rajasthan Royals
3727,Siddharth Trivedi,4,0,35,0,8.75,4,2,1,0,0,1,598001,6,0,Rajasthan Royals
3728,Kevon Cooper,4,0,30,3,7.5,8,2,0,2,0,1,598001,6,79,Rajasthan Royals
3729,Rahul Shukla,3,0,27,1,9,5,3,0,3,0,1,598001,6,25,Rajasthan Royals
3730,Stuart Binny,1,0,11,0,11,1,0,1,0,0,1,598001,6,0,Rajasthan Royals
3731,Dirk Nannes,4,0,18,1,4.5,9,0,0,0,0,2,598002,6,31,Chennai Super Kings
3732,Ankit Rajpoot,3,0,25,1,8.33,8,3,1,1,0,2,598002,6,25,Chennai Super Kings
3733,Dwayne Bravo,4,0,44,2,11,10,4,3,2,0,2,598002,6,50,Chennai Super Kings
3734,Ben Laughlin,3,0,25,1,8.33,5,3,0,3,0,2,598002,6,25,Chennai Super Kings
3735,Ravindra Jadeja,2,0,12,0,6,6,0,1,0,0,2,598002,6,0,Chennai Super Kings
3736,Ravichandran Ashwin,4,0,21,1,5.25,14,0,2,0,0,2,598002,6,25,Chennai Super Kings
3737,Mitchell Johnson,4,0,22,1,5.5,15,1,1,2,0,1,598002,6,25,Mumbai Indians
3738,Munaf Patel,4,0,29,3,7.25,12,3,0,1,0,1,598002,6,79,Mumbai Indians
3739,Harbhajan Singh,4,0,31,2,7.75,10,2,2,0,0,1,598002,6,50,Mumbai Indians
3740,Pragyan Ojha,4,0,16,2,4,10,0,0,0,0,1,598002,6,56,Mumbai Indians
3741,Kieron Pollard,4,0,40,1,10,8,5,1,3,0,1,598002,6,25,Mumbai Indians
3742,Praveen Kumar,4,0,31,2,7.75,9,3,1,1,0,2,598003,6,50,Kings XI Punjab
3743,Ryan Harris,4,0,12,1,3,18,2,0,0,0,2,598003,6,31,Kings XI Punjab
3744,Azhar Mahmood,4,0,19,2,4.75,11,2,0,0,0,2,598003,6,56,Kings XI Punjab
3745,Parvinder Awana,4,0,16,1,4,14,2,0,0,0,2,598003,6,31,Kings XI Punjab
3746,Piyush Chawla,4,0,19,1,4.75,11,1,0,0,0,2,598003,6,31,Kings XI Punjab
3747,Bhuvneshwar Kumar,2,0,16,0,8,7,2,1,0,0,1,598003,6,0,Pune Warriors
3748,Ashok Dinda,2,0,28,0,14,3,6,0,1,0,1,598003,6,-6,Pune Warriors
3749,Angelo Mathews,2,0,12,1,6,4,1,0,0,0,1,598003,6,25,Pune Warriors
3750,Mitchell Marsh,3.2,0,24,0,7.2,7,2,0,1,1,1,598003,6,0,Pune Warriors
3751,Rahul Sharma,3,0,20,1,6.67,8,3,0,0,0,1,598003,6,25,Pune Warriors
3752,Dale Steyn,4,0,37,1,9.25,9,4,0,2,0,2,598004,6,25,Sunrisers Hyderabad
3753,Hanuma Vihari,1,0,5,1,5,2,0,0,0,0,2,598004,6,25,Sunrisers Hyderabad
3754,Ishant Sharma,4,0,27,3,6.75,8,1,1,0,0,2,598004,6,79,Sunrisers Hyderabad
3755,Ankit Sharma,2,0,17,0,8.5,5,2,0,0,0,2,598004,6,0,Sunrisers Hyderabad
3756,Thisara Perera,4,0,21,1,5.25,12,2,0,1,0,2,598004,6,25,Sunrisers Hyderabad
3757,Amit Mishra,4,0,15,1,3.75,13,1,0,0,0,2,598004,6,31,Sunrisers Hyderabad
3758,Ashish Reddy,1,0,7,1,7,2,1,0,0,0,2,598004,6,25,Sunrisers Hyderabad
3759,Jaydev Unadkat,4,0,24,2,6,9,2,0,1,0,1,598004,6,50,Royal Challengers Bangalore
3760,Moises Henriques,3,0,14,2,4.67,10,1,0,1,0,1,598004,6,56,Royal Challengers Bangalore
3761,Murali Kartik,4,0,27,0,6.75,5,1,0,2,0,1,598004,6,0,Royal Challengers Bangalore
3762,Vinay Kumar,4,0,27,1,6.75,8,1,1,0,0,1,598004,6,25,Royal Challengers Bangalore
3763,Muttiah Muralitharan,4,0,18,1,4.5,10,1,0,1,0,1,598004,6,31,Royal Challengers Bangalore
3764,Tillakaratne Dilshan,1,0,10,0,10,0,1,0,0,0,1,598004,6,0,Royal Challengers Bangalore
3765,Brett Lee,4,0,20,1,5,16,3,0,1,0,2,598005,6,25,Kolkata Knight Riders
3766,Mohammed Shami,3,0,26,0,8.67,7,3,1,0,0,2,598005,6,0,Kolkata Knight Riders
3767,Sunil Narine,4,0,28,2,7,12,3,1,0,0,2,598005,6,50,Kolkata Knight Riders
3768,Jacques Kallis,4,0,28,0,7,8,3,0,0,1,2,598005,6,0,Kolkata Knight Riders
3769,Rajat Bhatia,3,0,21,1,7,6,3,0,0,0,2,598005,6,25,Kolkata Knight Riders
3770,Laxmi Shukla,2,0,14,1,7,5,2,0,0,0,2,598005,6,25,Kolkata Knight Riders
3771,Sreesanth,4,0,25,1,6.25,15,3,1,1,0,1,598005,6,25,Rajasthan Royals
3772,Shaun Tait,4,0,29,1,7.25,11,2,1,2,0,1,598005,6,25,Rajasthan Royals
3773,Rahul Shukla,3,0,28,2,9.33,8,2,1,2,0,1,598005,6,50,Rajasthan Royals
3774,Kevon Cooper,4,0,15,3,3.75,11,0,0,1,0,1,598005,6,85,Rajasthan Royals
3775,Siddharth Trivedi,4,0,23,3,5.75,12,1,1,0,0,1,598005,6,79,Rajasthan Royals
3776,Irfan Pathan,4,1,37,1,9.25,10,4,2,0,0,2,598006,6,37,Delhi Daredevils
3777,Ashish Nehra,4,0,49,2,12.25,6,3,4,0,0,2,598006,6,44,Delhi Daredevils
3778,Morne Morkel,4,0,43,1,10.75,9,7,1,0,1,2,598006,6,25,Delhi Daredevils
3779,Umesh Yadav,3,0,28,0,9.33,8,3,1,3,0,2,598006,6,0,Delhi Daredevils
3780,Shahbaz Nadeem,3,0,26,0,8.67,3,2,1,0,0,2,598006,6,0,Delhi Daredevils
3781,Jeevan Mendis,2,0,20,0,10,3,2,1,0,0,2,598006,6,0,Delhi Daredevils
3782,Harbhajan Singh,4,0,25,1,6.25,8,1,1,0,0,1,598006,6,25,Mumbai Indians
3783,Lasith Malinga,4,0,20,1,5,13,3,0,0,0,1,598006,6,25,Mumbai Indians
3784,Mitchell Johnson,4,0,49,2,12.25,8,8,1,1,0,1,598006,6,44,Mumbai Indians
3785,Pragyan Ojha,4,0,34,2,8.5,6,1,1,1,0,1,598006,6,50,Mumbai Indians
3786,Kieron Pollard,4,0,35,2,8.75,7,2,2,2,0,1,598006,6,50,Mumbai Indians
3787,Dirk Nannes,3.5,0,17,2,4.43,14,2,0,0,0,2,598007,6,56,Chennai Super Kings
3788,Ankit Rajpoot,1,0,10,0,10,2,2,0,0,0,2,598007,6,0,Chennai Super Kings
3789,Chris Morris,4,0,27,2,6.75,11,4,0,0,0,2,598007,6,50,Chennai Super Kings
3790,Ravindra Jadeja,4,0,29,1,7.25,7,3,0,0,0,2,598007,6,25,Chennai Super Kings
3791,Dwayne Bravo,4,0,27,3,6.75,11,2,1,2,0,2,598007,6,79,Chennai Super Kings
3792,Ravichandran Ashwin,3,0,22,1,7.33,5,2,0,0,0,2,598007,6,25,Chennai Super Kings
3793,Praveen Kumar,2.2,0,18,0,7.71,8,2,1,1,0,1,598007,6,0,Kings XI Punjab
3794,Ryan Harris,4,0,30,0,7.5,10,5,0,0,0,1,598007,6,0,Kings XI Punjab
3795,Azhar Mahmood,4,0,34,0,8.5,6,2,1,1,0,1,598007,6,0,Kings XI Punjab
3796,Parvinder Awana,2,0,20,0,10,3,3,0,0,0,1,598007,6,0,Kings XI Punjab
3797,Piyush Chawla,4,0,21,0,5.25,7,1,0,0,0,1,598007,6,0,Kings XI Punjab
3798,Rajagopal Sathish,1,0,15,0,15,1,1,1,0,0,1,598007,6,0,Kings XI Punjab
3799,Moises Henriques,4,0,24,2,6,11,3,0,1,0,2,598008,6,50,Royal Challengers Bangalore
3800,RP Singh,4,0,27,3,6.75,10,3,0,1,0,2,598008,6,79,Royal Challengers Bangalore
3801,Jaydev Unadkat,4,0,34,0,8.5,8,2,2,0,0,2,598008,6,0,Royal Challengers Bangalore
3802,Muttiah Muralitharan,4,0,30,0,7.5,8,4,0,0,1,2,598008,6,0,Royal Challengers Bangalore
3803,Vinay Kumar,4,0,36,2,9,9,5,0,0,0,2,598008,6,50,Royal Challengers Bangalore
3804,Ryan McLaren,3,0,34,1,11.33,10,3,3,2,0,1,598008,6,25,Kolkata Knight Riders
3805,Jacques Kallis,4,1,30,0,7.5,14,2,2,1,1,1,598008,6,12,Kolkata Knight Riders
3806,Sunil Narine,4,0,17,0,4.25,13,2,0,0,0,1,598008,6,6,Kolkata Knight Riders
3807,Lakshmipathy Balaji,3.3,0,33,1,9.43,11,2,3,2,0,1,598008,6,25,Kolkata Knight Riders
3808,Pradeep Sangwan,2,0,34,0,17,3,2,3,1,1,1,598008,6,-6,Kolkata Knight Riders
3809,Rajat Bhatia,1,0,10,0,10,2,0,1,1,0,1,598008,6,0,Kolkata Knight Riders
3810,Bhuvneshwar Kumar,4,0,41,1,10.25,10,6,1,1,1,2,598009,6,25,Pune Warriors
3811,Ashok Dinda,3,0,21,0,7,7,3,0,0,0,2,598009,6,0,Pune Warriors
3812,Angelo Mathews,4,0,27,0,6.75,8,3,0,0,0,2,598009,6,0,Pune Warriors
3813,Rahul Sharma,4,0,16,2,4,10,0,0,0,0,2,598009,6,56,Pune Warriors
3814,Yuvraj Singh,4,0,27,2,6.75,7,3,0,1,0,2,598009,6,50,Pune Warriors
3815,Mitchell Marsh,1,0,10,0,10,2,2,0,0,0,2,598009,6,0,Pune Warriors
