Season,Team,Player
2,Chennai Super Kings,Albie Morkel
2,Chennai Super Kings,Muttiah Muralitharan
2,Chennai Super Kings,Makhaya Ntini
2,Chennai Super Kings,Jacob Oram
2,Chennai Super Kings,Parthiv Patel
2,Chennai Super Kings,Suresh Raina
2,Chennai Super Kings,Thilan Thushara
2,Chennai Super Kings,Sudeep Tyagi
2,Chennai Super Kings,Murali Vijay
2,Chennai Super Kings,Andrew Flintoff
2,Chennai Super Kings,Vidyut Sivaramakrishnan
2,Deccan Chargers,Adam Gilchrist
2,Deccan Chargers,Abhinav Kumar
2,Deccan Chargers,Azhar Bilakhia
2,Deccan Chargers,Manvinder  Bisla
2,Deccan Chargers,Halhadar Das
2,Deccan Chargers,Fidel Edwards
2,Deccan Chargers,Herschelle Gibbs
2,Deccan Chargers,Harmeet Singh
2,Deccan Chargers,Ryan Harris
2,Deccan Chargers,Jaskaran Singh
2,Deccan Chargers,Doddapaneni Kalyankrishna
2,Deccan Chargers,VVS Laxman
2,Deccan Chargers,Pragyan Ojha
2,Deccan Chargers,Dwaraka Ravi Teja
2,Deccan Chargers,PM Sarvesh Kumar
2,Deccan Chargers,Rohit Sharma
2,Deccan Chargers,Shoaib Ahmed
2,Deccan Chargers,Chamara Silva
2,Deccan Chargers,RP Singh
2,Deccan Chargers,Dwayne Smith
2,Deccan Chargers,Scott Styris
2,Deccan Chargers,Tirumalasetti Suman
2,Deccan Chargers,Andrew Symonds
2,Deccan Chargers,Chaminda Vaas
2,Deccan Chargers,Venugopal Rao
2,Deccan Chargers,Paidikalva Vijaykumar
2,Deccan Chargers,Arjun Yadav
2,Deccan Chargers,Nuwan Zoysa
2,Delhi Daredevils,Virender Sehwag
2,Delhi Daredevils,Rajat Bhatia
2,Delhi Daredevils,Paul Collingwood
2,Delhi Daredevils,AB de Villiers
2,Delhi Daredevils,Tillakaratne Dilshan
2,Delhi Daredevils,Gautam Gambhir
2,Delhi Daredevils,Dinesh Karthik
2,Delhi Daredevils,Andrew McDonald
2,Delhi Daredevils,Glenn McGrath
2,Delhi Daredevils,Farveez Maharoof
2,Delhi Daredevils,Yo Mahesh
2,Delhi Daredevils,Mithun Manhas
2,Delhi Daredevils,Amit Mishra
2,Delhi Daredevils,Yogesh Nagar
2,Delhi Daredevils,Dirk Nannes
2,Delhi Daredevils,Ashish Nehra
2,Delhi Daredevils,Aavishkar Salvi
2,Delhi Daredevils,Pradeep Sangwan
2,Delhi Daredevils,Owais Shah
2,Delhi Daredevils,Daniel Vettori
2,Delhi Daredevils,David Warner
2,Delhi Daredevils,Tejashwi Yadav
2,Delhi Daredevils,Umesh Yadav
2,Delhi Daredevils,Manoj Tiwary
2,Kings XI Punjab,Yuvraj Singh
2,Kings XI Punjab,Yusuf Abdulla
2,Kings XI Punjab,Amanpreet Singh
2,Kings XI Punjab,Ajitesh Argal
2,Kings XI Punjab,Ranadeb Bose
2,Kings XI Punjab,Piyush Chawla
