Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Siddarth Kaul,3,0,40,0,13.33,3,3,3,0,0,1,1136606,11,-6,Sunrisers Hyderabad,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Krishnappa Gowtham,2,0,23,0,11.5,5,3,1,2,0,2,1136607,11,0,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Dhawal Kulkarni,4,0,43,1,10.75,8,7,1,0,0,2,1136607,11,25,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Jofra Archer,4,0,16,2,4,14,0,0,3,0,2,1136607,11,56,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Ben Stokes,4,0,26,2,6.5,11,2,1,1,0,2,1136607,11,50,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Shreyas Gopal,2,0,21,0,10.5,2,0,2,0,0,2,1136607,11,0,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Jaydev Unadkat,4,0,37,1,9.25,8,3,2,1,0,2,1136607,11,25,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Jasprit Bumrah,3,0,34,1,11.33,6,4,1,1,0,1,1136607,11,25,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Mitchell McClenaghan,4,0,28,0,7,12,4,0,3,0,1,1136607,11,0,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Krunal Pandya,4,0,24,0,6,8,1,1,0,0,1,1136607,11,0,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Hardik Pandya,4,0,52,2,13,7,4,4,0,0,1,1136607,11,44,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Mayank Markande,3,0,32,0,10.67,2,3,1,0,0,1,1136607,11,0,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,field
Umesh Yadav,4,0,23,3,5.75,15,1,2,0,0,2,1136608,11,79,Royal Challengers Bangalore,Punjab Kings,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Tim Southee,2,0,19,0,9.5,7,3,1,0,0,2,1136608,11,0,Royal Challengers Bangalore,Punjab Kings,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Mohammed Siraj,3,0,17,1,5.67,10,1,1,1,0,2,1136608,11,25,Royal Challengers Bangalore,Punjab Kings,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Yuzvendra Chahal,2,0,6,1,3,6,0,0,0,0,2,1136608,11,31,Royal Challengers Bangalore,Punjab Kings,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Colin de Grandhomme,2,0,8,1,4,6,0,0,2,0,2,1136608,11,31,Royal Challengers Bangalore,Punjab Kings,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Moeen Ali,2.1,0,13,1,6,5,0,1,0,0,2,1136608,11,25,Royal Challengers Bangalore,Punjab Kings,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Ravichandran Ashwin,1,0,9,0,9,0,1,0,0,0,1,1136608,11,0,Punjab Kings,Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Andrew Tye,4,0,33,0,8.25,9,4,1,0,0,1,1136608,11,0,Punjab Kings,Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Ankit Rajpoot,1.1,0,21,0,18,2,3,1,1,1,1,1136608,11,0,Punjab Kings,Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Mohit Sharma,1,0,15,0,15,0,3,0,0,0,1,1136608,11,0,Punjab Kings,Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Marcus Stoinis,1,0,12,0,12,1,2,0,0,0,1,1136608,11,0,Punjab Kings,Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Royal Challengers Bangalore,field
Shivam Mavi,4,0,44,1,11,10,5,3,0,0,2,1136609,11,25,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Prasidh Krishna,4,0,35,2,8.75,10,5,1,0,0,2,1136609,11,50,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Sunil Narine,4,0,29,1,7.25,12,5,0,1,0,2,1136609,11,25,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Andre Russell,3,0,13,2,4.33,8,0,0,0,0,2,1136609,11,56,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Kuldeep Yadav,4,0,20,4,5,8,1,0,0,0,2,1136609,11,108,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Krishnappa Gowtham,2,0,32,0,16,1,2,3,0,0,1,1136609,11,-6,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Ben Stokes,4,1,15,3,3.75,14,1,0,1,0,1,1136609,11,97,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Jofra Archer,4,0,43,0,10.75,10,6,2,0,0,1,1136609,11,0,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Ish Sodhi,4,0,21,1,5.25,11,2,0,0,0,1,1136609,11,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Jaydev Unadkat,3,0,23,0,7.67,7,4,0,0,0,1,1136609,11,0,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Anureet Singh,1,0,10,0,10,0,1,0,0,0,1,1136609,11,0,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Ankit Rajpoot,4,0,46,1,11.5,10,5,3,2,0,2,1136610,11,25,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings,field
Mohit Sharma,3,0,34,0,11.33,8,2,3,1,1,2,1136610,11,0,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings,field
Andrew Tye,4,0,16,4,4,15,1,0,1,0,2,1136610,11,114,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings,field
Axar Patel,3,0,24,0,8,2,0,1,1,0,2,1136610,11,0,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings,field
Ravichandran Ashwin,3,0,18,2,6,5,0,1,0,0,2,1136610,11,50,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings,field
Marcus Stoinis,3,0,43,1,14.33,3,4,3,0,0,2,1136610,11,19,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai",Punjab Kings,field
Mitchell McClenaghan,4,0,37,2,9.25,10,4,2,1,0,1,1136610,11,50,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field
Jasprit Bumrah,4,0,15,3,3.75,11,0,0,1,0,1,1136610,11,85,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field
Hardik Pandya,4,0,42,0,10.5,6,3,2,2,0,1,1136610,11,0,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field
Krunal Pandya,4,0,36,0,9,4,5,0,0,0,1,1136610,11,0,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field
Mayank Markande,3,0,34,0,11.33,0,1,2,1,0,1,1136610,11,0,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field
Ben Cutting,1,0,15,0,15,0,3,0,0,0,1,1136610,11,0,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,field
Sandeep Sharma,4,0,40,1,10,8,4,2,1,0,2,1136611,11,25,Sunrisers Hyderabad,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Shakib Al Hasan,4,0,35,0,8.75,5,3,1,0,0,2,1136611,11,0,Sunrisers Hyderabad,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Rashid Khan,4,0,27,3,6.75,12,3,1,0,0,2,1136611,11,79,Sunrisers Hyderabad,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Siddarth Kaul,4,0,44,2,11,8,5,2,0,0,2,1136611,11,50,Sunrisers Hyderabad,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Basil Thampi,4,0,70,0,17.5,2,5,6,1,0,2,1136611,11,-6,Sunrisers Hyderabad,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Umesh Yadav,4,0,31,0,7.75,10,2,2,0,0,1,1136611,11,0,Royal Challengers Bangalore,Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Tim Southee,4,0,45,0,11.25,6,5,2,1,0,1,1136611,11,0,Royal Challengers Bangalore,Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Yuzvendra Chahal,4,0,28,1,7,9,3,0,1,0,1,1136611,11,25,Royal Challengers Bangalore,Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Mohammed Siraj,4,0,43,1,10.75,9,2,4,1,0,1,1136611,11,25,Royal Challengers Bangalore,Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Moeen Ali,2,0,21,1,10.5,2,2,1,0,0,1,1136611,11,25,Royal Challengers Bangalore,Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Colin de Grandhomme,2,0,34,0,17,0,2,3,0,0,1,1136611,11,-6,Royal Challengers Bangalore,Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,field
Deepak Chahar,3,0,23,1,7.67,11,3,1,2,0,2,1136612,11,25,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Lungi Ngidi,3,0,14,2,4.67,10,1,0,2,0,2,1136612,11,56,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Ravindra Jadeja,4,0,19,1,4.75,10,1,0,0,0,2,1136612,11,31,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Shardul Thakur,4,0,27,1,6.75,10,2,1,0,0,2,1136612,11,25,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Harbhajan Singh,2,0,24,0,12,4,2,2,0,0,2,1136612,11,-6,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Dwayne Bravo,4,0,52,0,13,4,1,5,2,0,2,1136612,11,-6,Chennai Super Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Trent Boult,4,0,20,2,5,12,0,1,0,0,1,1136612,11,50,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Sandeep Lamichhane,4,0,21,1,5.25,10,0,1,0,0,1,1136612,11,25,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Avesh Khan,2,0,28,0,14,5,2,3,0,0,1,1136612,11,-6,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Harshal Patel,4,0,23,1,5.75,10,1,1,0,0,1,1136612,11,25,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Amit Mishra,4,0,20,2,5,12,1,1,0,0,1,1136612,11,50,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Glenn Maxwell,2,0,14,0,7,4,2,0,0,0,1,1136612,11,0,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field
Yuzvendra Chahal,4,0,26,0,6.5,10,3,0,0,0,2,1136613,11,0,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Umesh Yadav,4,1,25,3,6.25,12,4,0,0,0,2,1136613,11,91,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Moeen Ali,2,0,19,0,9.5,5,0,2,0,0,2,1136613,11,0,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Tim Southee,4,0,37,0,9.25,4,1,2,1,0,2,1136613,11,0,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Mohammed Siraj,4,0,33,1,8.25,7,3,1,0,0,2,1136613,11,25,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Colin de Grandhomme,2,0,23,0,11.5,0,0,1,3,0,2,1136613,11,0,Royal Challengers Bangalore,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Krishnappa Gowtham,2,0,6,1,3,6,0,0,0,0,1,1136613,11,31,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Jofra Archer,4,0,37,0,9.25,11,4,2,1,0,1,1136613,11,0,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Ben Laughlin,2,0,15,2,7.5,6,3,0,0,0,1,1136613,11,50,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Jaydev Unadkat,3.2,0,27,2,8.1,8,5,0,0,0,1,1136613,11,50,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Shreyas Gopal,4,0,16,4,4,10,0,0,0,0,1,1136613,11,114,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Ish Sodhi,4,0,31,1,7.75,6,3,0,0,0,1,1136613,11,25,Rajasthan Royals,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat
Nitish Rana,1,0,5,0,5,4,1,0,0,0,2,1136614,11,0,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Prasidh Krishna,4,0,30,4,7.5,10,3,1,2,0,2,1136614,11,108,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Andre Russell,3,0,31,1,10.33,10,5,1,1,1,2,1136614,11,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Sunil Narine,4,0,23,1,5.75,10,0,1,2,0,2,1136614,11,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Piyush Chawla,2,0,19,0,9.5,2,2,0,0,0,2,1136614,11,0,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Kuldeep Yadav,4,0,35,1,8.75,4,3,1,0,0,2,1136614,11,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Javon Searles,2,0,24,1,12,2,0,2,0,0,2,1136614,11,19,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Bhuvneshwar Kumar,4,0,33,0,8.25,9,3,1,1,0,1,1136614,11,0,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Sandeep Sharma,2,0,30,0,15,4,3,2,2,0,1,1136614,11,-6,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Siddarth Kaul,4,0,26,2,6.5,13,3,1,1,0,1,1136614,11,50,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Shakib Al Hasan,3,0,30,1,10,4,2,2,0,0,1,1136614,11,25,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Rashid Khan,4,0,31,0,7.75,4,1,1,0,0,1,1136614,11,0,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Carlos Brathwaite,2.4,0,21,2,7.88,7,2,1,1,0,1,1136614,11,50,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,bat
Krunal Pandya,2,0,11,1,5.5,5,1,0,0,0,2,1136615,11,25,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Jasprit Bumrah,4,0,29,1,7.25,8,3,0,3,0,2,1136615,11,25,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Hardik Pandya,4,0,36,0,9,8,3,2,1,0,2,1136615,11,0,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Mustafizur Rahman,4,0,34,0,8.5,9,2,2,0,0,2,1136615,11,0,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Mayank Markande,2,0,21,1,10.5,2,2,1,0,0,2,1136615,11,25,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Ben Cutting,4,0,36,0,9,5,2,2,1,0,2,1136615,11,0,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Sandeep Lamichhane,4,0,36,3,9,10,3,2,1,0,1,1136615,11,79,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Trent Boult,4,0,33,1,8.25,9,2,1,1,0,1,1136615,11,25,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Glenn Maxwell,2,0,19,0,9.5,6,1,2,0,0,1,1136615,11,0,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Harshal Patel,2.3,0,28,3,11.2,6,2,2,1,0,1,1136615,11,79,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Liam Plunkett,3,0,27,0,9,5,2,1,2,0,1,1136615,11,0,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Amit Mishra,4,0,19,3,4.75,13,0,1,0,0,1,1136615,11,85,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat
Deepak Chahar,4,0,30,1,7.5,12,3,1,2,1,2,1136616,11,25,Chennai Super Kings,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Lungi Ngidi,4,1,10,4,2.5,16,0,0,1,0,2,1136616,11,126,Chennai Super Kings,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Harbhajan Singh,1,0,13,0,13,1,1,1,0,0,2,1136616,11,0,Chennai Super Kings,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Shardul Thakur,3.4,0,33,2,9,9,3,1,2,0,2,1136616,11,50,Chennai Super Kings,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Dwayne Bravo,4,0,39,2,9.75,7,2,3,0,0,2,1136616,11,50,Chennai Super Kings,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Ravindra Jadeja,3,0,23,1,7.67,5,0,2,0,0,2,1136616,11,25,Chennai Super Kings,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Ankit Rajpoot,4,1,19,2,4.75,18,2,1,0,1,1,1136616,11,68,Punjab Kings,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Mohit Sharma,3.1,0,28,1,8.84,7,3,1,1,0,1,1136616,11,25,Punjab Kings,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Andrew Tye,4,0,47,0,11.75,6,4,2,5,0,1,1136616,11,0,Punjab Kings,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Axar Patel,4,0,28,0,7,7,1,1,0,0,1,1136616,11,0,Punjab Kings,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Ravichandran Ashwin,4,0,36,2,9,5,1,2,1,0,1,1136616,11,50,Punjab Kings,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,field
Deepak Chahar,4,0,31,1,7.75,12,5,0,2,0,2,1136617,11,25,Chennai Super Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Lungi Ngidi,4,0,20,1,5,10,2,0,0,0,2,1136617,11,25,Chennai Super Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Shardul Thakur,4,0,50,1,12.5,9,3,4,3,0,2,1136617,11,19,Chennai Super Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Dwayne Bravo,4,0,25,2,6.25,9,1,0,4,0,2,1136617,11,50,Chennai Super Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Ravindra Jadeja,4,0,13,1,3.25,14,1,0,0,0,2,1136617,11,31,Chennai Super Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Bhuvneshwar Kumar,3.1,0,14,1,4.42,12,0,1,1,0,1,1136617,11,31,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Sandeep Sharma,3,0,30,2,10,6,4,1,0,0,1,1136617,11,50,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Siddarth Kaul,4,0,32,2,8,10,5,0,1,0,1,1136617,11,50,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Carlos Brathwaite,3,0,31,0,10.33,7,3,2,1,0,1,1136617,11,0,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Rashid Khan,4,0,11,2,2.75,14,0,0,0,0,1,1136617,11,56,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Shakib Al Hasan,2,0,20,0,10,1,1,1,0,0,1,1136617,11,0,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,field
Krishnappa Gowtham,3,0,15,2,5,10,2,0,0,0,2,1136618,11,50,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,field
Jofra Archer,4,0,33,2,8.25,12,2,2,3,1,2,1136618,11,50,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,field
Jaydev Unadkat,2,0,33,0,16.5,1,4,2,0,0,2,1136618,11,-6,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,field
Ish Sodhi,4,0,15,0,3.75,11,0,0,0,0,2,1136618,11,6,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,field
Shreyas Gopal,4,0,34,1,8.5,8,2,2,0,0,2,1136618,11,25,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,field
Ben Laughlin,3,0,35,2,11.67,5,3,2,2,0,2,1136618,11,50,Rajasthan Royals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Rajasthan Royals,field
Andre Russell,3,0,22,0,7.33,5,0,1,0,0,1,1136618,11,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field
Prasidh Krishna,4,0,28,1,7,10,4,0,0,0,1,1136618,11,25,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field
Piyush Chawla,4,0,24,2,6,7,2,0,0,0,1,1136618,11,50,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field
Sunil Narine,4,0,39,0,9.75,9,2,3,1,0,1,1136618,11,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field
Kuldeep Yadav,4,0,18,1,4.5,13,2,0,0,0,1,1136618,11,31,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field
Javon Searles,1,0,13,0,13,1,1,1,0,0,1,1136618,11,0,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field
Shivam Mavi,4,0,33,1,8.25,9,2,2,1,0,2,1136619,11,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Prasidh Krishna,4,0,56,0,14,5,4,4,3,0,2,1136619,11,-6,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Andre Russell,1,0,9,0,9,3,2,0,0,0,2,1136619,11,0,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Sunil Narine,4,0,24,1,6,7,2,0,0,0,2,1136619,11,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Piyush Chawla,3,0,22,1,7.33,8,4,0,0,0,2,1136619,11,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Kuldeep Yadav,4,0,29,2,7.25,7,2,1,0,0,2,1136619,11,50,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
Bhuvneshwar Kumar,4,0,38,0,9.5,9,6,1,0,0,1,1136619,11,0,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders,field
