Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Brett Lee,4,0,9,1,2.25,18,1,0,0,0,1,335991,1,31,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Irfan Pathan,4,1,19,2,4.75,15,1,1,2,0,1,335991,1,68,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Vikram Singh,4,0,40,1,10,10,5,2,1,0,1,335991,1,25,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Sreesanth,4,0,31,2,7.75,12,3,1,0,2,1,335991,1,50,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Piyush Chawla,4,0,16,2,4,15,2,0,1,0,1,335991,1,56,Punjab Kings,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Mumbai Indians,field
Shane Watson,4,0,20,2,5,15,3,0,0,1,2,335992,1,50,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Sohail Tanvir,4,0,31,0,7.75,14,3,2,1,0,2,335992,1,0,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Munaf Patel,3,0,20,2,6.67,9,2,1,0,0,2,335992,1,50,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Siddharth Trivedi,4,0,29,1,7.25,12,3,1,2,0,2,335992,1,25,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Shane Warne,4,1,23,1,5.75,15,1,2,0,0,2,335992,1,37,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Yusuf Pathan,1,0,10,0,10,1,0,1,0,0,2,335992,1,0,Rajasthan Royals,Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Praveen Kumar,3,0,42,1,14,5,8,1,0,0,1,335992,1,19,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Zaheer Khan,4,0,24,1,6,15,5,0,0,0,1,335992,1,25,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Vinay Kumar,2,0,15,0,7.5,4,2,0,1,0,1,335992,1,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Anil Kumble,4,0,22,0,5.5,10,2,0,1,0,1,335992,1,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Jacques Kallis,1,0,7,0,7,2,1,0,0,0,1,335992,1,0,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Sunil Joshi,3.1,0,27,1,8.53,9,4,1,0,0,1,335992,1,25,Royal Challengers Bangalore,Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,field
Jacob Oram,4,0,32,3,8,9,3,1,0,0,2,335993,1,79,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Manpreet Gony,4,0,40,2,10,9,4,2,0,1,2,335993,1,50,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Palani  Amarnath,4,0,29,2,7.25,11,5,0,0,0,2,335993,1,50,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
Muttiah Muralitharan,4,0,12,0,3,15,0,0,3,0,2,335993,1,6,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,bat
