,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams
54,Virat Kohli,c †Ronchi b Nehra,23,14,3,1,164.29,2,335985,1,28,Bangalore Royal Challengers
55,Mark Boucher,not out,39,19,4,2,205.26,2,335985,1,53,Bangalore Royal Challengers
56,Balachandra Akhil,not out,3,5,0,0,60,2,335985,1,3,Bangalore Royal Challengers
57,Adam Gilchrist,c Mohammad Hafeez b Kartik,23,22,1,2,104.55,1,335986,1,28,Deccan Chargers
58,Venugopal Rao,c Kartik b Sharma,14,14,1,0,100,1,335986,1,15,Deccan Chargers
59,VVS Laxman,c Shukla b Dinda,0,6,0,0,0,1,335986,1,-2,Deccan Chargers
60,Andrew Symonds,c Hussey b Agarkar,32,39,2,2,82.05,1,335986,1,38,Deccan Chargers
61,Rohit Sharma,c †Saha b Kartik,0,3,0,0,0,1,335986,1,-2,Deccan Chargers
62,Scott Styris,b Mohammad Hafeez,6,7,1,0,85.71,1,335986,1,7,Deccan Chargers
63,Arjun Yadav,c Dinda b Hussey,10,10,0,1,100,1,335986,1,12,Deccan Chargers
64,Sanjay Bangar,c †Saha b Kartik,14,10,1,1,140,1,335986,1,17,Deccan Chargers
65,Chaminda Vaas,c Ganguly b Agarkar,0,1,0,0,0,1,335986,1,-2,Deccan Chargers
66,RP Singh,not out,1,2,0,0,50,1,335986,1,1,Deccan Chargers
67,Pragyan Ojha,run out (Mohammad Hafeez/†Saha),0,0,0,0,0,1,335986,1,-2,Deccan Chargers
68,Wriddhiman Saha,c Styris b Vaas,10,17,1,0,58.82,2,335986,1,11,Kolkata Knight Riders
69,Brendon McCullum,c Sharma b Singh,5,5,1,0,100,2,335986,1,6,Kolkata Knight Riders
70,Ricky Ponting,lbw b Vaas,0,1,0,0,0,2,335986,1,-2,Kolkata Knight Riders
71,Sourav Ganguly,b Ojha,14,30,1,0,46.67,2,335986,1,9,Kolkata Knight Riders
72,David Hussey,not out,38,43,1,3,88.37,2,335986,1,45,Kolkata Knight Riders
73,Mohammad Hafeez,c Symonds b Ojha,13,13,1,1,100,2,335986,1,16,Kolkata Knight Riders
74,Laxmi Shukla,not out,4,6,0,0,66.67,2,335986,1,4,Kolkata Knight Riders
75,Karan Goel,b Patel,26,21,3,2,123.81,1,335987,1,33,Kings XI Punjab
76,James Hopes,lbw b Warne,16,16,2,0,100,1,335987,1,18,Kings XI Punjab
77,Kumar Sangakkara,c & b Warne,20,8,3,1,250,1,335987,1,31,Kings XI Punjab
78,Mahela Jayawardene,st †Kamran Akmal b Salunkhe,2,4,0,0,50,1,335987,1,2,Kings XI Punjab
79,Yuvraj Singh,lbw b Warne,57,34,6,3,167.65,1,335987,1,69,Kings XI Punjab
80,Irfan Pathan,b Trivedi,12,19,0,1,63.16,1,335987,1,14,Kings XI Punjab
81,Sunny Sohal,run out (Jadeja/†Kamran Akmal),4,4,0,0,100,1,335987,1,4,Kings XI Punjab
82,Brett Lee,c †Kamran Akmal b Trivedi,0,2,0,0,0,1,335987,1,-2,Kings XI Punjab
83,Piyush Chawla,not out,24,11,4,0,218.18,1,335987,1,34,Kings XI Punjab
84,Wilkin Mota,not out,1,1,0,0,100,1,335987,1,1,Kings XI Punjab
85,Mohammad Kaif,c †Sangakkara b Sreesanth,5,8,1,0,62.5,2,335987,1,6,Rajasthan Royals
86,Kamran Akmal,c Chawla b Hopes,15,10,2,1,150,2,335987,1,19,Rajasthan Royals
87,Yusuf Pathan,c & b Lee,7,5,1,0,140,2,335987,1,8,Rajasthan Royals
88,Shane Watson,not out,76,49,5,5,155.1,2,335987,1,91,Rajasthan Royals
89,Darren Lehmann,lbw b Pathan,17,16,3,0,106.25,2,335987,1,20,Rajasthan Royals
90,Ravindra Jadeja,not out,36,25,5,1,144,2,335987,1,43,Rajasthan Royals
91,Adam Gilchrist,b Mohammad Asif,8,9,0,1,88.89,1,335988,1,10,Deccan Chargers
92,Venugopal Rao,c Dhawan b Maharoof,14,22,2,0,63.64,1,335988,1,16,Deccan Chargers
93,VVS Laxman,b Mohammad Asif,2,6,0,0,33.33,1,335988,1,-4,Deccan Chargers
94,Andrew Symonds,c †Karthik b Maharoof,12,13,2,0,92.31,1,335988,1,14,Deccan Chargers
95,Rohit Sharma,c McGrath b Bhatia,66,36,6,4,183.33,1,335988,1,86,Deccan Chargers
96,Shahid Afridi,lbw b Bhatia,2,7,0,0,28.57,1,335988,1,-4,Deccan Chargers
97,Sanjay Bangar,run out (Tiwary/†Karthik),8,14,0,0,57.14,1,335988,1,8,Deccan Chargers
98,Arjun Yadav,c Gambhir b Mahesh,12,7,2,0,171.43,1,335988,1,20,Deccan Chargers
99,Chaminda Vaas,not out,12,6,0,1,200,1,335988,1,20,Deccan Chargers
100,RP Singh,not out,1,1,0,0,100,1,335988,1,1,Deccan Chargers
101,Gautam Gambhir,c †Gilchrist b Singh,12,9,2,0,133.33,2,335988,1,14,Delhi Daredevils
102,Virender Sehwag,not out,94,41,10,6,229.27,2,335988,1,122,Delhi Daredevils
103,Shikhar Dhawan,not out,25,28,3,0,89.29,2,335988,1,28,Delhi Daredevils
104,Parthiv Patel,c †Ronchi b Nehra,14,11,3,0,127.27,1,335989,1,17,Chennai Super Kings
105,Matthew Hayden,run out (Harbhajan Singh),81,46,12,2,176.09,1,335989,1,103,Chennai Super Kings
106,Michael Hussey,b Kulkarni,5,9,1,0,55.56,1,335989,1,6,Chennai Super Kings
107,Suresh Raina,c Bravo b Khote,53,37,3,3,143.24,1,335989,1,62,Chennai Super Kings
108,MS Dhoni,c Bravo b Khote,30,16,4,1,187.5,1,335989,1,42,Chennai Super Kings
109,Jacob Oram,not out,5,2,1,0,250,1,335989,1,12,Chennai Super Kings
110,S Badrinath,not out,2,1,0,0,200,1,335989,1,8,Chennai Super Kings
111,Luke Ronchi,run out (Badrinath),2,3,0,0,66.67,2,335989,1,2,Mumbai Indians
112,Sanath Jayasuriya,c Joginder Sharma b Gony,20,11,4,0,181.82,2,335989,1,30,Mumbai Indians
113,Robin Uthappa,b Joginder Sharma,43,36,6,1,119.44,2,335989,1,51,Mumbai Indians
114,Shaun Pollock,b Amarnath,17,15,0,1,113.33,2,335989,1,19,Mumbai Indians
