,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
65,Chaminda Vaas,c Ganguly b Agarkar,0,1,0,0,0,1,335986,1,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
66,RP Singh,not out,1,2,0,0,50,1,335986,1,1,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
67,Pragyan Ojha,run out (Mohammad Hafeez/†Saha),0,0,0,0,0,1,335986,1,-2,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,"Eden Gardens, Kolkata"
68,Wriddhiman Saha,c Styris b Vaas,10,17,1,0,58.82,2,335986,1,11,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
69,Brendon McCullum,c Sharma b Singh,5,5,1,0,100,2,335986,1,6,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
70,Ricky Ponting,lbw b Vaas,0,1,0,0,0,2,335986,1,-2,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
71,Sourav Ganguly,b Ojha,14,30,1,0,46.67,2,335986,1,9,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
72,David Hussey,not out,38,43,1,3,88.37,2,335986,1,45,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
73,Mohammad Hafeez,c Symonds b Ojha,13,13,1,1,100,2,335986,1,16,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
74,Laxmi Shukla,not out,4,6,0,0,66.67,2,335986,1,4,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,"Eden Gardens, Kolkata"
75,Karan Goel,b Patel,26,21,3,2,123.81,1,335987,1,33,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
76,James Hopes,lbw b Warne,16,16,2,0,100,1,335987,1,18,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
77,Kumar Sangakkara,c & b Warne,20,8,3,1,250,1,335987,1,31,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
78,Mahela Jayawardene,st †Kamran Akmal b Salunkhe,2,4,0,0,50,1,335987,1,2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
79,Yuvraj Singh,lbw b Warne,57,34,6,3,167.65,1,335987,1,69,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
80,Irfan Pathan,b Trivedi,12,19,0,1,63.16,1,335987,1,14,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
81,Sunny Sohal,run out (Jadeja/†Kamran Akmal),4,4,0,0,100,1,335987,1,4,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
82,Brett Lee,c †Kamran Akmal b Trivedi,0,2,0,0,0,1,335987,1,-2,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
83,Piyush Chawla,not out,24,11,4,0,218.18,1,335987,1,34,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
84,Wilkin Mota,not out,1,1,0,0,100,1,335987,1,1,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
85,Mohammad Kaif,c †Sangakkara b Sreesanth,5,8,1,0,62.5,2,335987,1,6,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
86,Kamran Akmal,c Chawla b Hopes,15,10,2,1,150,2,335987,1,19,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
87,Yusuf Pathan,c & b Lee,7,5,1,0,140,2,335987,1,8,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
88,Shane Watson,not out,76,49,5,5,155.1,2,335987,1,91,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
89,Darren Lehmann,lbw b Pathan,17,16,3,0,106.25,2,335987,1,20,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
90,Ravindra Jadeja,not out,36,25,5,1,144,2,335987,1,43,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur"
91,Adam Gilchrist,b Mohammad Asif,8,9,0,1,88.89,1,335988,1,10,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
92,Venugopal Rao,c Dhawan b Maharoof,14,22,2,0,63.64,1,335988,1,16,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
93,VVS Laxman,b Mohammad Asif,2,6,0,0,33.33,1,335988,1,-4,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
94,Andrew Symonds,c †Karthik b Maharoof,12,13,2,0,92.31,1,335988,1,14,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
95,Rohit Sharma,c McGrath b Bhatia,66,36,6,4,183.33,1,335988,1,86,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
96,Shahid Afridi,lbw b Bhatia,2,7,0,0,28.57,1,335988,1,-4,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
97,Sanjay Bangar,run out (Tiwary/†Karthik),8,14,0,0,57.14,1,335988,1,8,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
98,Arjun Yadav,c Gambhir b Mahesh,12,7,2,0,171.43,1,335988,1,20,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
99,Chaminda Vaas,not out,12,6,0,1,200,1,335988,1,20,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
100,RP Singh,not out,1,1,0,0,100,1,335988,1,1,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
