,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
11,Palani  Amarnath,4,0,57,1,14.25,6,6,3,0,0,1,335989,1,19
12,Muttiah Muralitharan,4,0,40,2,10,5,2,2,4,0,1,335989,1,50
0,Munaf Patel,4,0,55,0,13.75,7,11,0,2,0,2,335990,1,-6
1,Shane Watson,4,0,32,1,8,13,6,0,2,0,2,335990,1,25
2,Yusuf Pathan,2,0,20,2,10,6,1,2,0,0,2,335990,1,50
3,Pankaj Singh,2,0,14,0,7,4,0,1,0,0,2,335990,1,0
4,Siddharth Trivedi,3,0,37,0,12.33,2,3,2,0,1,2,335990,1,-6
5,Shane Warne,4,0,47,2,11.75,3,3,3,1,0,2,335990,1,50
6,Dinesh Salunkhe,1,0,9,0,9,2,0,1,0,0,2,335990,1,0
7,Chaminda Vaas,4,0,42,1,10.5,8,5,2,0,0,1,335990,1,25
8,RP Singh,4,0,44,1,11,10,4,3,1,1,1,335990,1,25
9,Pragyan Ojha,2,0,23,0,11.5,3,3,1,0,0,1,335990,1,0
10,Doddapaneni Kalyankrishna,3,0,30,1,10,4,2,2,0,0,1,335990,1,25
11,Shahid Afridi,4,0,28,3,7,9,2,1,1,0,1,335990,1,79
12,Andrew Symonds,2.5,0,46,0,16.24,3,2,5,0,0,1,335990,1,-6
0,Shaun Pollock,4,0,40,1,10,8,5,1,1,0,2,335991,1,25
1,Ashish Nehra,3,0,22,2,7.33,7,2,0,0,0,2,335991,1,50
2,Dhawal Kulkarni,4,0,37,2,9.25,10,3,2,1,1,2,335991,1,50
3,Harbhajan Singh,4,0,32,3,8,9,4,0,1,0,2,335991,1,79
4,Dwayne Bravo,3,0,27,0,9,6,2,1,0,0,2,335991,1,0
5,Musavir Khote,2,0,22,0,11,2,2,1,0,0,2,335991,1,0
6,Brett Lee,4,0,9,1,2.25,18,1,0,0,0,1,335991,1,31
